time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.voltage,.current,.charge,.capacity,.design_capacity,.percentage,.power_supply_status,.power_supply_health,.power_supply_technology,.present,.cell_voltage,.location,.serial_number
2018/07/18/15:56:50.865356,4830,1531943810,863741140,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:50.892893,4831,1531943810,890289728,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:50.925448,4832,1531943810,918516631,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:50.975442,4833,1531943810,975038149,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.013804,4834,1531943811,13256380,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.076532,4835,1531943811,76054555,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.117107,4836,1531943811,116822707,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.187651,4837,1531943811,187030739,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.221565,4838,1531943811,221281182,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.291721,4839,1531943811,290145807,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.325436,4840,1531943811,325074674,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.386220,4841,1531943811,385878090,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.450583,4842,1531943811,450293140,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.516104,4843,1531943811,515776464,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.563453,4844,1531943811,563062517,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.588814,4845,1531943811,588417458,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.636438,4846,1531943811,636172304,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.712214,4847,1531943811,706541966,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.759300,4848,1531943811,759026033,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.779741,4849,1531943811,776175830,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.836590,4850,1531943811,836273911,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.896260,4851,1531943811,895965885,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.932957,4852,1531943811,932704105,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:51.980637,4853,1531943811,980304713,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.048148,4854,1531943812,47952651,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.076165,4855,1531943812,75974791,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.130369,4856,1531943812,129946455,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.193921,4857,1531943812,193546734,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.235269,4858,1531943812,233125878,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.285621,4859,1531943812,285276861,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.334832,4860,1531943812,331817325,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.408843,4861,1531943812,408286335,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.434354,4862,1531943812,433702300,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.484514,4863,1531943812,482050420,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.506311,4864,1531943812,506055330,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.577648,4865,1531943812,577338039,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.643566,4866,1531943812,642778709,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.667718,4867,1531943812,667320541,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.718139,4868,1531943812,715562295,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.817931,4869,1531943812,817594723,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.835025,4870,1531943812,834316206,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.880043,4871,1531943812,879477391,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.910335,4872,1531943812,910099657,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:52.989185,4873,1531943812,988936478,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.054260,4874,1531943813,53983683,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.091777,4875,1531943813,91556550,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.110484,4876,1531943813,110172057,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.191810,4877,1531943813,191294931,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.268037,4878,1531943813,267530634,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.354889,4879,1531943813,354643608,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.389583,4880,1531943813,389065538,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.426963,4881,1531943813,425940430,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.487995,4882,1531943813,487690525,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.536694,4883,1531943813,536389363,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.579204,4884,1531943813,578960118,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.632466,4885,1531943813,629510612,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.683724,4886,1531943813,683202538,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.776529,4887,1531943813,775676755,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.846917,4888,1531943813,846080373,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.851969,4889,1531943813,851594511,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.925415,4890,1531943813,924956523,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.946831,4891,1531943813,946537145,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:53.975310,4892,1531943813,975122285,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.016339,4893,1531943814,14559225,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.106968,4894,1531943814,106453996,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.132004,4895,1531943814,127314659,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.188826,4896,1531943814,188537275,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.235405,4897,1531943814,232220561,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.277179,4898,1531943814,276839580,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.333459,4899,1531943814,333099475,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.365616,4900,1531943814,365439001,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.427329,4901,1531943814,426996428,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.480542,4902,1531943814,479720400,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.509670,4903,1531943814,509349592,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.565946,4904,1531943814,565659694,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.614877,4905,1531943814,613566575,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.687531,4906,1531943814,687060779,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.742758,4907,1531943814,742477933,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.789313,4908,1531943814,788843905,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.841695,4909,1531943814,841445990,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.883856,4910,1531943814,882511997,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.925246,4911,1531943814,923857105,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:54.972018,4912,1531943814,971558261,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.007489,4913,1531943815,5100171,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.077997,4914,1531943815,77790196,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.135190,4915,1531943815,134723939,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.167047,4916,1531943815,166805230,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.226251,4917,1531943815,226021696,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.274878,4918,1531943815,272125849,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.330767,4919,1531943815,330441143,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.379531,4920,1531943815,379188271,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.435114,4921,1531943815,434813519,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.474666,4922,1531943815,474418426,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.528074,4923,1531943815,527433275,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.588471,4924,1531943815,586590543,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.641064,4925,1531943815,638707995,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.664759,4926,1531943815,664583988,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.712283,4927,1531943815,712018908,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.795222,4928,1531943815,794809957,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.848167,4929,1531943815,847599977,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.875221,4930,1531943815,874887344,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.930315,4931,1531943815,929353214,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:55.980049,4932,1531943815,979696354,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:56.030663,4933,1531943816,30259203,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:56.084343,4934,1531943816,82912618,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:56.137773,4935,1531943816,137237309,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
2018/07/18/15:56:56.195584,4936,1531943816,194310764,,0.0,0.00999999977648,nan,nan,nan,-0.00999999977648,2,0,0,True,(),,
