time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
2018/07/18/15:56:50.885663,998,1531943810,884418155,map,base_link,-111.645811304,50.3962563716,35.605,0.430355280624,0.0100020537959,-0.00634773302409,-0.902581850939,"(0.4356000346183784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4356000346183784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7424001384735135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0)",-0.39,19.49,0.04,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/07/18/15:56:51.114672,999,1531943811,112639880,map,base_link,-107.243643616,50.5183510675,35.869,0.192815652867,0.0357816614945,-0.0586542927737,-0.978826578434,"(0.4356000346183784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4356000346183784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7424001384735135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0)",0.62,19.26,-1.0,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/07/18/15:56:51.369291,1000,1531943811,368075341,map,base_link,-102.833014969,50.6071348639,36.408,0.192815652867,0.0357816614945,-0.0586542927737,-0.978826578434,"(0.39689999399185183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39689999399185183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5875999759674073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0)",0.36,18.87,-1.83,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/07/18/15:56:51.635826,1001,1531943811,634012524,map,base_link,-97.8297936802,50.4404960829,37.247,-0.115040466481,0.0463108334785,-0.108915435493,-0.986285164486,"(0.39689999399185183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39689999399185183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5875999759674073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0)",-0.09,18.1,-2.72,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/07/18/15:56:51.883607,1002,1531943811,882505033,map,base_link,-93.6731425728,50.3071871527,38.126,0.0893909549218,0.0853818927019,-0.110568628532,-0.986150986392,"(0.39689999399185183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39689999399185183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5875999759674073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0)",0.39,17.38,-3.12,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/07/18/15:56:52.110608,1003,1531943812,109279103,map,base_link,-89.6265416792,50.3959859735,38.993,0.222648565727,0.0928291957041,-0.0904932205825,-0.966240825899,"(0.39689999399185183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39689999399185183, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5875999759674073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0)",1.29,16.89,-3.03,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/07/18/15:56:52.391684,1004,1531943812,390208837,map,base_link,-85.6137969353,50.7957320876,39.708,0.222648565727,0.0928291957041,-0.0904932205825,-0.966240825899,"(0.4356000346183784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4356000346183784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7424001384735135, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0)",2.33,16.71,-2.49,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/07/18/15:56:52.625448,1005,1531943812,622984241,map,base_link,-81.3132104134,51.5730527935,40.191,0.297462736201,0.099476162262,-0.109967832473,-0.943147649912,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4884000698089608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0)",3.7,16.21,-1.81,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/07/18/15:56:52.863221,1006,1531943812,860496001,map,base_link,-77.4359044426,52.6946408059,40.521,0.352863325419,0.136949070677,-0.177656852116,-0.908388941209,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4884000698089608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0)",5.48,15.55,-1.49,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2018/07/18/15:56:53.108394,1007,1531943813,107751800,map,base_link,-73.7448393419,54.3270722418,40.803,0.352863325419,0.136949070677,-0.177656852116,-0.908388941209,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4884000698089608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 99999.0)",7.8,14.64,-1.58,0.0,0.0,0.0,"(-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
