time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2018/07/18/15:56:50.933532,1286,1531943810,933254299,base_link,0,1,40.5914601,-79.8995372,349.262177802,"(0.4356000346183784, 0.0, 0.0, 0.0, 0.4356000346183784, 0.0, 0.0, 0.0, 1.7424001384735135)",1
2018/07/18/15:56:51.143669,1287,1531943811,143058500,base_link,0,1,40.5914577,-79.8994915,349.442225421,"(0.4356000346183784, 0.0, 0.0, 0.0, 0.4356000346183784, 0.0, 0.0, 0.0, 1.7424001384735135)",1
2018/07/18/15:56:51.337497,1288,1531943811,337205271,base_link,0,1,40.5914567,-79.8994467,349.682271542,"(0.39689999399185183, 0.0, 0.0, 0.0, 0.39689999399185183, 0.0, 0.0, 0.0, 1.5875999759674073)",1
2018/07/18/15:56:51.548847,1289,1531943811,548014901,base_link,0,1,40.591456,-79.8994019,350.002317541,"(0.39689999399185183, 0.0, 0.0, 0.0, 0.39689999399185183, 0.0, 0.0, 0.0, 1.5875999759674073)",1
2018/07/18/15:56:51.742431,1290,1531943811,741930763,base_link,0,1,40.5914552,-79.8993577,350.452362974,"(0.39689999399185183, 0.0, 0.0, 0.0, 0.39689999399185183, 0.0, 0.0, 0.0, 1.5875999759674073)",1
2018/07/18/15:56:51.969367,1291,1531943811,968449121,base_link,0,1,40.5914548,-79.8993146,350.99240712,"(0.39689999399185183, 0.0, 0.0, 0.0, 0.39689999399185183, 0.0, 0.0, 0.0, 1.5875999759674073)",1
2018/07/18/15:56:52.166458,1292,1531943812,166114795,base_link,0,1,40.5914552,-79.8992725,351.632449915,"(0.4760999967098236, 0.0, 0.0, 0.0, 0.4760999967098236, 0.0, 0.0, 0.0, 1.9043999868392945)",1
2018/07/18/15:56:52.372752,1293,1531943812,372240394,base_link,0,1,40.5914572,-79.8992311,352.252491331,"(0.4356000346183784, 0.0, 0.0, 0.0, 0.4356000346183784, 0.0, 0.0, 0.0, 1.7424001384735135)",1
2018/07/18/15:56:52.555253,1294,1531943812,554350491,base_link,0,1,40.5914608,-79.8991897,352.802532083,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:52.733277,1295,1531943812,732904026,base_link,0,1,40.5914659,-79.899149,353.242571496,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:52.938656,1296,1531943812,937755753,base_link,0,1,40.5914734,-79.8991092,353.602608991,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:53.139883,1297,1531943813,138976523,base_link,0,1,40.5914834,-79.8990706,353.922644221,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:53.374089,1298,1531943813,373047982,base_link,0,1,40.5914973,-79.8990333,354.262676498,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:53.546267,1299,1531943813,545922426,base_link,0,1,40.5915155,-79.8989987,354.702704226,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:53.812166,1300,1531943813,810908371,base_link,0,1,40.5915379,-79.8989678,355.142726427,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:53.935572,1301,1531943813,934880653,base_link,0,1,40.591564,-79.898941,355.622742901,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:54.139858,1302,1531943814,139022351,base_link,0,1,40.5915927,-79.898919,356.142753394,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:54.342339,1303,1531943814,341689318,base_link,0,1,40.5916238,-79.8989024,356.652757377,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:54.538766,1304,1531943814,537613426,base_link,0,1,40.5916564,-79.8988921,357.242754306,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:54.758010,1305,1531943814,757736203,base_link,0,1,40.5916898,-79.8988891,357.902743455,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:54.939902,1306,1531943814,932618242,base_link,0,1,40.5917233,-79.8988931,358.622725422,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:55.144563,1307,1531943815,140073280,base_link,0,1,40.591756,-79.8989037,359.382700991,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:55.360308,1308,1531943815,359907427,base_link,0,1,40.5917871,-79.8989203,360.212671107,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:55.539847,1309,1531943815,539282437,base_link,0,1,40.5918156,-79.898942,361.122637105,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:55.737515,1310,1531943815,733057746,base_link,0,1,40.5918408,-79.8989681,362.14259999,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:56:55.967191,1311,1531943815,966916291,base_link,0,1,40.5918632,-79.8989968,363.252561392,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:56.144485,1312,1531943816,143149042,base_link,0,1,40.5918831,-79.8990258,364.362523531,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:56.340520,1313,1531943816,340126492,base_link,0,1,40.5919013,-79.8990547,365.482486483,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:56.543117,1314,1531943816,542262725,base_link,0,1,40.5919183,-79.8990835,366.56245004,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:56.748625,1315,1531943816,748118750,base_link,0,1,40.5919346,-79.8991115,367.532414707,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:56.980996,1316,1531943816,980555017,base_link,0,1,40.5919502,-79.8991382,368.392380994,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:57.146190,1317,1531943817,145082512,base_link,0,1,40.5919654,-79.8991644,369.092347961,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:57.366558,1318,1531943817,366304845,base_link,0,1,40.5919809,-79.8991899,369.652315521,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:57.533930,1319,1531943817,533435892,base_link,0,1,40.5919968,-79.8992139,370.172284448,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:57.776155,1320,1531943817,775883367,base_link,0,1,40.5920129,-79.8992375,370.362253703,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:57.974863,1321,1531943817,974557728,base_link,0,1,40.5920291,-79.8992612,370.332222818,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:58.145076,1322,1531943818,144717477,base_link,0,1,40.5920457,-79.8992844,369.97219228,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:58.351479,1323,1531943818,350992100,base_link,0,1,40.5920619,-79.8993077,369.61216181,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:58.560045,1324,1531943818,559634150,base_link,0,1,40.5920785,-79.8993309,369.102131278,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:58.737004,1325,1531943818,736755315,base_link,0,1,40.5920952,-79.8993543,368.472100505,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:58.953637,1326,1531943818,953375184,base_link,0,1,40.5921122,-79.8993775,367.802069814,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:59.129205,1327,1531943819,126234263,base_link,0,1,40.5921298,-79.899401,367.062038573,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:59.357148,1328,1531943819,356766219,base_link,0,1,40.5921475,-79.8994247,366.34200709,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:59.570228,1329,1531943819,569801659,base_link,0,1,40.5921655,-79.8994488,365.611975078,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:59.768672,1330,1531943819,768368481,base_link,0,1,40.592184,-79.8994731,364.97194266,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:56:59.937801,1331,1531943819,937415544,base_link,0,1,40.5922025,-79.8994978,364.391909838,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:00.141037,1332,1531943820,139532053,base_link,0,1,40.5922212,-79.8995229,363.881876529,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:00.338804,1333,1531943820,338432284,base_link,0,1,40.5922404,-79.899548,363.371843018,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:00.526033,1334,1531943820,525594614,base_link,0,1,40.5922593,-79.8995731,362.981809634,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:00.759433,1335,1531943820,759033965,base_link,0,1,40.5922786,-79.8995982,362.61177609,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:00.930943,1336,1531943820,930625962,base_link,0,1,40.5922979,-79.8996232,362.321742651,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:01.134334,1337,1531943821,133872254,base_link,0,1,40.5923171,-79.899648,362.111709462,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:01.355262,1338,1531943821,354566042,base_link,0,1,40.5923362,-79.8996718,361.991677336,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:01.514416,1339,1531943821,514106706,base_link,0,1,40.5923557,-79.8996949,361.831645763,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:01.799899,1340,1531943821,799438311,base_link,0,1,40.5923758,-79.899717,361.721614965,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:01.910019,1341,1531943821,909663238,base_link,0,1,40.5923961,-79.8997378,361.681585412,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:02.178304,1342,1531943822,177827222,base_link,0,1,40.5924168,-79.8997575,361.57155682,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:02.339063,1343,1531943822,338803424,base_link,0,1,40.592438,-79.8997762,361.361529043,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:02.540298,1344,1531943822,539802616,base_link,0,1,40.5924595,-79.8997934,361.151502674,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:02.744195,1345,1531943822,743661195,base_link,0,1,40.5924819,-79.8998087,360.881477874,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:02.931393,1346,1531943822,931062796,base_link,0,1,40.5925053,-79.8998215,360.601455212,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:03.129997,1347,1531943823,129532230,base_link,0,1,40.5925297,-79.8998315,360.341434994,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:03.329549,1348,1531943823,329030293,base_link,0,1,40.5925551,-79.8998385,360.011417424,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:03.529814,1349,1531943823,529367706,base_link,0,1,40.5925812,-79.8998426,359.621402522,"(0.3721000174522402, 0.0, 0.0, 0.0, 0.3721000174522402, 0.0, 0.0, 0.0, 1.4884000698089608)",1
2018/07/18/15:57:03.743098,1350,1531943823,742564671,base_link,0,1,40.5926078,-79.8998431,359.211391084,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:03.975508,1351,1531943823,975213874,base_link,0,1,40.5926346,-79.89984,358.781383234,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:04.124490,1352,1531943824,123615295,base_link,0,1,40.5926615,-79.8998326,358.341379723,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:04.367719,1353,1531943824,366966163,base_link,0,1,40.5926876,-79.8998206,357.971381228,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:04.538516,1354,1531943824,538330596,base_link,0,1,40.5927128,-79.8998042,357.661387584,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:04.739135,1355,1531943824,738887594,base_link,0,1,40.5927365,-79.8997834,357.401399039,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:04.934906,1356,1531943824,933904309,base_link,0,1,40.5927585,-79.8997585,357.201415368,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:05.139428,1357,1531943825,138961960,base_link,0,1,40.5927783,-79.8997296,356.991436673,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:05.402898,1358,1531943825,402272746,base_link,0,1,40.5927951,-79.8996966,356.941463386,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
2018/07/18/15:57:05.585643,1359,1531943825,584678359,base_link,0,1,40.5928092,-79.899661,356.911493855,"(0.3480999690532691, 0.0, 0.0, 0.0, 0.3480999690532691, 0.0, 0.0, 0.0, 1.3923998762130765)",1
