time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.framing_status,.magic,.len,.incompat_flags,.compat_flags,.seq,.sysid,.compid,.msgid,.checksum,.payload64,.signature
2018/07/18/15:56:50.860945,35100,1531943810,859778567,,1,254,51,0,0,199,1,1,87,36550,"(1743390163898072554, 4881388308592085572, 0, 13766020982894493696L, 4448668242295918890, 4723526014430347264, 3618418210673917944)",
2018/07/18/15:56:50.865305,35101,1531943810,863587190,,1,254,31,0,0,200,1,1,1,60465,"(99638014348753983, 889082477631, 65535, 13834776580305453056L)",
2018/07/18/15:56:50.866503,35102,1531943810,866078390,,1,254,6,0,0,201,1,1,125,21166,"(99360697169089357,)",
2018/07/18/15:56:50.867697,35103,1531943810,867391621,,1,254,4,0,0,202,1,1,152,56843,"(99360699565735936,)",
2018/07/18/15:56:50.868536,35104,1531943810,868250970,,1,254,2,0,0,203,1,1,42,50693,"(99360699565735936,)",
2018/07/18/15:56:50.869694,35105,1531943810,869386060,,1,254,26,0,0,204,1,1,62,1517,"(13898738952375094477L, 14081983038342152847L, 18423662772392933472L, 13834776580305453063L)",
2018/07/18/15:56:50.878941,35106,1531943810,878392217,,1,254,26,0,0,205,1,1,27,7086,"(916989036, 568291810406695095, 18323175729990992165L, 13834776580305453306L)",
2018/07/18/15:56:50.881648,35107,1531943810,881194677,,1,254,22,0,0,206,1,1,116,32537,"(10133726227725821, 18390450117886605953L, 18323176537448186283L)",
2018/07/18/15:56:50.883124,35108,1531943810,882686498,,1,254,14,0,0,207,1,1,29,995,"(4932363772989668861, 18390474866420305067L)",
2018/07/18/15:56:50.884650,35109,1531943810,884233838,,1,254,28,0,0,208,1,1,33,8165,"(1743389833185590781, 1633894954716657, 548876037082090261, 13834776580855037956L)",
2018/07/18/15:56:50.886855,35110,1531943810,886461873,,1,254,28,0,0,209,1,1,32,52645,"(4768993911518395901, 13983233236262403543L, 4727642343254714081, 13834776581332086746L)",
