%time,field.data
1531943810885903545,83.86
1531943811114733293,80.25
1531943811369333213,78.21
1531943811635867828,76.3
1531943811884002326,76.77
1531943812110712844,77.08
1531943812391730738,74.75
1531943812625923820,69.45
1531943812863282910,63.5
1531943813108478927,55.59
1531943813389158369,45.88
1531943813609965900,36.76
1531943813895391394,24.87
1531943814120533625,16.08
1531943814359563139,5.42
1531943814606011503,354.87
1531943814857398140,344.45
1531943815106371338,335.05
1531943815376642447,323.85
1531943815637359565,316.4
1531943815872374223,311.24
1531943816102132056,309.28
1531943816380251873,306.82
1531943816604421556,306.17
1531943816829043841,307.3
1531943817060253212,309.54
1531943817327300569,311.21
1531943817594719920,311.0
1531943817831017040,310.58
1531943818040861086,311.3
1531943818269578211,313.51
1531943818536689030,316.14
1531943818808820425,317.17
1531943818988308985,316.83
1531943819238530486,316.31
1531943819461970212,316.36
1531943819738457368,317.05
1531943819968870638,317.68
1531943820166421445,318.03
1531943820423861615,317.62
1531943820727530455,318.12
1531943820981257648,319.68
1531943821169007591,321.44
1531943821450314062,323.3
1531943821656223907,324.28
1531943821954998384,326.55
1531943822133395648,329.14
1531943822371630599,333.46
1531943822609845743,337.55
1531943822890013324,342.47
1531943823167119283,349.09
1531943823370777902,355.37
1531943823602949767,2.15
1531943823873184647,10.9
1531943824117786248,18.19
1531943824396300839,26.32
1531943824609192084,32.57
1531943824884764695,42.03
1531943825114268409,50.86
1531943825330854367,56.99
1531943825606733637,65.38
1531943825853724498,71.21
1531943826073668559,75.52
1531943826328536129,78.85
1531943826567554295,82.02
1531943826806360463,83.89
1531943827071040521,84.71
1531943827329215897,85.26
1531943827572027462,84.57
1531943827819873653,83.25
1531943828013022630,81.88
1531943828295139669,80.73
1531943828519984325,79.84
1531943828792445066,78.66
1531943828996783446,77.01
1531943829208069874,75.58
1531943829457315612,74.75
1531943829672215723,75.34
1531943829945854057,76.86
1531943830166031261,79.56
1531943830369026948,83.43
1531943830624333898,87.31
1531943830871444788,89.31
1531943831138834281,88.53
1531943831347582702,87.03
1531943831576786745,85.33
1531943831828898092,86.16
1531943832075845920,88.6
1531943832335281056,88.54
1531943832525800809,87.71
1531943832795853352,87.01
1531943833027959318,87.25
1531943833257897251,87.62
1531943833477353392,86.94
1531943833730406851,86.24
1531943833962546006,86.88
1531943834230301179,88.13
1531943834476665478,88.33
1531943834776179817,87.17
1531943834952494920,85.85
1531943835164565752,85.6
1531943835424773409,86.3
1531943835615903153,86.65
1531943835878214912,84.45
1531943836106198130,82.66
1531943836375705584,82.55
1531943836582790179,83.68
1531943836823878585,84.48
1531943837035960784,84.91
1531943837314073612,86.59
1531943837527881713,86.34
1531943837768925070,85.03
1531943838016990325,84.43
1531943838231742388,83.57
1531943838493546651,83.45
1531943838757392554,85.19
1531943839022613960,86.12
1531943839213922983,86.41
1531943839459529975,84.8
1531943839714166746,84.28
1531943839957565765,85.68
1531943840236393514,89.64
1531943840485693811,91.16
1531943840741175089,92.27
1531943840971722236,95.0
1531943841208345794,98.28
1531943841447288589,102.71
1531943841663717767,107.54
1531943841926391925,112.82
1531943842194263401,119.63
1531943842453278953,124.97
1531943842651709855,130.27
1531943842871322935,137.75
1531943843126446792,145.84
1531943843375314727,154.61
1531943843644072152,162.07
1531943843874750001,168.8
1531943844130548288,174.39
1531943844354469166,179.49
1531943844593574600,183.2
1531943844837255626,186.7
1531943845056867853,190.09
1531943845363497511,192.29
1531943845575391178,193.3
1531943845824553488,193.08
1531943846075240935,191.73
1531943846329204858,190.03
1531943846571717877,188.25
1531943846798973062,186.84
1531943847041377443,184.32
1531943847286558692,182.85
1531943847545841982,182.02
1531943847808584718,180.89
1531943848046199242,180.4
1531943848283405262,180.17
1531943848569086260,178.93
1531943848795567255,178.76
1531943849045617156,178.13
1531943849281757786,178.66
1531943849536034106,180.65
1531943849744920530,182.39
1531943850034545360,182.14
1531943850244674879,182.07
1531943850472715418,182.42
1531943850731432266,182.32
1531943850968432444,181.71
1531943851227409709,181.49
1531943851496646311,181.36
1531943851708129385,181.35
1531943851963910338,181.31
1531943852176095200,181.05
1531943852411042035,181.18
1531943852667040622,181.04
1531943852921294782,181.27
1531943853159168305,183.14
1531943853402489575,186.21
1531943853653391650,189.68
1531943853870474540,192.63
1531943854102253803,196.46
1531943854361840422,202.05
1531943854630731061,208.63
1531943854854485877,214.41
1531943855111229236,221.95
1531943855329859188,227.3
1531943855582860098,233.66
1531943855847698821,241.42
1531943856073120855,247.41
1531943856356130187,254.34
1531943856571524373,260.35
1531943856855450109,266.96
1531943857103940231,271.69
1531943857323068010,275.24
1531943857570118792,277.75
1531943857802336434,278.95
1531943858109003514,281.0
1531943858301091804,282.15
1531943858573386488,283.27
1531943858811685312,282.63
1531943859057812014,281.45
1531943859325601284,280.57
1531943859559256614,279.57
1531943859799085697,277.37
1531943860074907418,274.58
1531943860303929623,273.19
1531943860590563831,272.81
1531943860810828217,272.12
1531943861078100603,270.56
1531943861284642017,269.6
1531943861557220170,269.11
1531943861777164213,269.37
1531943862072010718,269.78
1531943862294895723,270.13
1531943862512348374,271.23
1531943862780046877,273.7
1531943863006989147,274.77
1531943863265690223,275.69
1531943863500807314,277.33
1531943863768581629,279.63
1531943864014209736,280.21
1531943864293402100,280.39
1531943864498274969,280.71
1531943864783447520,280.82
1531943864997578938,279.3
1531943865276856842,278.55
1531943865469546431,279.72
1531943865706448055,280.98
1531943865973882224,280.73
1531943866205721766,278.44
1531943866454336476,276.58
1531943866694175158,276.42
1531943866922751507,276.85
1531943867204669901,276.54
1531943867432663541,275.21
1531943867674026754,273.76
1531943867914233309,274.24
1531943868169360143,275.24
1531943868407423271,276.36
1531943868666785674,277.22
1531943868926494153,277.52
1531943869172848484,277.81
1531943869429206798,278.92
1531943869668348893,280.69
1531943869925716060,283.23
1531943870166619706,283.91
1531943870424698453,283.37
1531943870660252242,284.14
1531943870879027214,285.04
1531943871148136174,285.46
1531943871368629595,284.9
1531943871606785406,284.24
1531943871870094595,283.54
1531943872122561221,282.02
1531943872340744817,281.03
1531943872642570435,279.48
1531943872808681728,277.73
1531943873078461920,276.0
1531943873343929013,275.05
1531943873587288101,275.32
1531943873820818917,276.01
1531943874058973842,276.08
1531943874292837522,275.61
1531943874545538589,275.95
1531943874770975709,277.12
1531943875055980538,278.47
1531943875284588441,279.6
1531943875512462497,281.01
1531943875778139132,283.16
1531943876052201274,286.3
1531943876267219127,290.19
1531943876490141948,293.09
1531943876723586793,294.99
1531943877006394823,296.75
1531943877240059798,299.28
1531943877474178752,302.88
1531943877732668086,306.79
1531943877974882788,310.65
1531943878233316959,316.83
1531943878476124842,323.71
1531943878729136642,328.39
1531943878966262126,331.51
1531943879220524700,335.08
1531943879473615320,339.54
1531943879728149379,344.44
1531943879996743920,348.48
1531943880237498331,353.57
1531943880479922323,356.56
1531943880721013913,358.21
1531943880969838121,359.62
1531943881213233433,1.75
1531943881466165150,4.57
1531943881750985949,8.05
1531943881928844846,9.49
1531943882211020142,9.56
1531943882409472220,9.58
1531943882692080025,8.59
1531943882933252806,6.66
1531943883162756730,5.5
1531943883452384972,5.37
1531943883657374483,4.84
1531943883898028810,3.13
1531943884168120762,2.03
1531943884418966179,2.08
1531943884625400797,1.18
1531943884869331027,0.88
1531943885095654960,1.33
1531943885303277696,1.79
1531943885556632018,2.26
1531943885811022232,3.25
1531943886020561523,4.24
1531943886266876631,5.35
1531943886536304505,5.43
1531943886768638201,5.04
1531943887027234036,5.26
1531943887274256531,6.09
1531943887498776110,6.64
1531943887765025399,5.59
1531943888031555646,4.73
1531943888247725400,6.04
1531943888518174903,5.01
1531943888741513825,2.67
1531943889005803013,0.63
1531943889237910481,0.29
1531943889474691210,0.6
1531943889720128931,1.42
1531943889979649791,1.35
1531943890215588613,1.39
1531943890469495364,3.05
1531943890733857359,5.17
1531943890981911471,6.7
1531943891217718298,8.97
1531943891497243841,9.91
1531943891732949038,10.96
1531943892011692542,11.87
1531943892244809611,12.55
1531943892510378704,14.23
1531943892714476318,16.7
1531943892967262545,20.5
1531943893226419809,25.84
1531943893456130199,30.72
1531943893738138635,36.39
1531943893973751360,40.79
1531943894196422918,47.42
1531943894422569799,54.77
1531943894691800172,61.31
1531943894892163625,64.81
1531943895134557145,68.81
1531943895398750393,73.43
1531943895646933418,78.44
1531943895868571680,82.9
1531943896117391691,85.73
1531943896388555458,87.57
1531943896611476908,89.26
1531943896873137420,90.18
1531943897122504405,89.89
1531943897371258566,89.01
1531943897679471402,88.3
1531943897876012857,88.56
1531943898126917685,88.11
1531943898366853290,86.75
1531943898615527776,86.23
1531943898819507265,86.05
1531943899053455065,85.95
1531943899319508500,85.54
1531943899562803305,85.05
1531943899772367695,84.61
1531943900023874122,84.38
1531943900243899009,84.44
1531943900468688580,85.32
1531943900684915461,86.22
1531943900942927196,86.5
1531943901154938221,85.57
1531943901412277007,85.12
1531943901647257798,85.54
1531943901874568401,87.03
1531943902116271071,87.99
1531943902354834097,88.04
1531943902569210604,87.26
1531943902814529140,86.12
1531943903091298567,85.5
1531943903328737289,85.69
1531943903530178611,86.83
1531943903798764802,87.27
1531943904038376461,86.96
1531943904231409910,86.58
1531943904491012618,85.99
1531943904752400715,86.09
1531943904992531891,87.56
1531943905194898873,88.9
1531943905466264528,89.48
1531943905739119767,89.15
1531943905979573470,89.14
1531943906187108751,90.89
1531943906426938081,92.67
1531943906687847726,92.29
1531943906956867362,92.0
1531943907155756563,91.19
1531943907416955841,90.76
1531943907647485723,90.7
1531943907893664139,90.87
1531943908105601265,91.05
1531943908320357145,90.94
1531943908598547569,90.56
1531943908801630359,89.37
1531943909067098074,88.71
1531943909308411078,89.56
1531943909563455741,90.35
1531943909832318270,89.29
1531943910079321165,87.18
1531943910317668700,87.51
1531943910559968927,89.65
1531943910851563278,90.53
1531943911064268370,90.31
1531943911283521554,89.66
1531943911532215253,89.58
1531943911799702828,89.45
1531943912027977163,88.09
1531943912311909460,86.21
1531943912528109687,86.29
1531943912764352770,88.33
1531943913019064935,88.61
1531943913229160558,87.51
1531943913463237108,87.29
1531943913711234243,88.49
1531943913931136449,90.18
1531943914198306500,92.27
1531943914426263855,94.37
1531943914672733234,99.08
1531943914910731697,104.84
1531943915182326312,110.81
1531943915427146880,118.36
1531943915697714947,125.89
1531943915883478390,130.82
1531943916130090972,136.17
1531943916384358546,143.32
1531943916605941287,149.37
1531943916853698435,155.88
1531943917082173903,163.81
1531943917335105750,171.85
1531943917587993630,179.87
1531943917831926662,185.33
1531943918036677938,189.85
1531943918231234830,194.11
1531943918495173762,198.02
1531943918725337952,200.65
1531943918965179606,202.12
1531943919208936005,202.85
1531943919463017477,202.8
1531943919720147461,200.8
1531943919929931872,198.55
1531943920229705051,196.7
1531943920469354266,196.53
1531943920684304096,196.36
1531943920924640984,194.87
1531943921159413708,193.01
1531943921396435914,191.66
1531943921673407292,190.48
1531943921907925909,189.21
1531943922106399535,188.46
1531943922384721398,187.28
1531943922607297040,185.76
1531943922873342907,184.59
1531943923105380849,183.73
1531943923384878767,183.52
1531943923628275598,183.92
1531943923847074739,183.62
1531943924094234506,182.21
1531943924354922612,181.42
1531943924570462174,181.7
1531943924842571214,181.99
1531943925065759943,182.26
1531943925339106862,183.04
1531943925583770470,184.39
1531943925806837347,186.31
1531943926046614415,188.43
1531943926313809626,191.84
1531943926565609992,195.79
1531943926782780807,199.27
1531943927061161532,204.42
1531943927266831446,209.98
1531943927540973147,217.19
1531943927732104528,221.79
1531943928009263156,229.7
1531943928205032570,236.69
1531943928490414827,245.31
1531943928730089087,253.74
1531943928967424909,262.01
1531943929208302871,268.65
1531943929408613007,273.45
1531943929672440231,278.91
1531943929976361622,283.4
1531943930143775404,285.44
1531943930388266067,287.65
1531943930645848016,289.3
1531943930851497105,289.78
1531943931123646294,289.4
1531943931336391887,288.51
1531943931573748196,287.05
1531943931834303012,285.38
1531943932071054688,284.15
1531943932297912007,282.85
1531943932522692996,280.87
1531943932743777895,278.01
1531943932991486162,274.5
1531943933211471043,271.58
1531943933458069948,269.96
1531943933712525379,269.47
1531943933936267917,269.25
1531943934210875008,269.94
1531943934406357141,271.05
1531943934647640904,272.4
1531943934898523990,273.37
1531943935160897517,275.34
1531943935440769644,277.89
1531943935674564689,280.15
1531943935898177696,282.28
1531943936166753049,284.94
1531943936382907929,286.55
1531943936634079753,288.51
1531943936893802208,290.21
1531943937112610054,290.22
1531943937356142569,289.15
1531943937596282960,287.97
1531943937875736378,286.7
1531943938109304360,284.62
1531943938318143450,282.13
1531943938610939739,278.13
1531943938831571249,274.79
1531943939082013552,271.77
1531943939299589225,268.86
1531943939619483986,265.46
1531943939808531989,264.3
1531943940053873195,263.09
1531943940379083135,260.26
1531943940554171670,259.29
1531943940822290112,259.35
1531943941068027444,259.71
1531943941338160811,260.99
1531943941580158121,263.79
1531943941766236015,266.67
1531943941986639566,269.84
1531943942267770837,274.76
1531943942512294011,277.22
1531943942787315042,280.11
1531943942984780275,283.02
