%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1531943810885613340,981,1531943810884418155,base_link,0,1,40.5914577,-79.8994959,345.772220932,0.435600034618,0.0,0.0,0.0,0.435600034618,0.0,0.0,0.0,1.74240013847,1
1531943811114656398,982,1531943811112639880,base_link,0,1,40.5914588,-79.8994439,346.032273523,0.435600034618,0.0,0.0,0.0,0.435600034618,0.0,0.0,0.0,1.74240013847,1
1531943811369249054,983,1531943811368075341,base_link,0,1,40.5914596,-79.8993918,346.572326345,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1531943811635825813,984,1531943811634012524,base_link,0,1,40.5914581,-79.8993327,347.412387274,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1531943811883567644,985,1531943811882505033,base_link,0,1,40.5914569,-79.8992836,348.292437878,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1531943812110368657,986,1531943812109279103,base_link,0,1,40.5914577,-79.8992358,349.162486326,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1531943812391546132,987,1531943812390208837,base_link,0,1,40.5914613,-79.8991884,349.872533201,0.435600034618,0.0,0.0,0.0,0.435600034618,0.0,0.0,0.0,1.74240013847,1
1531943812625354003,988,1531943812622984241,base_link,0,1,40.5914683,-79.8991376,350.36258213,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943812861345494,989,1531943812860496001,base_link,0,1,40.5914784,-79.8990918,350.692624666,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943813108363920,990,1531943813107751800,base_link,0,1,40.5914931,-79.8990482,350.972663039,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943813388587528,991,1531943813387689876,base_link,0,1,40.5915175,-79.8990015,351.322700533,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943813609798958,992,1531943813608992153,base_link,0,1,40.591545,-79.8989667,351.652724588,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943813895016999,993,1531943813893765239,base_link,0,1,40.5915833,-79.8989348,352.142741182,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943814119930881,994,1531943814118171095,base_link,0,1,40.5916134,-79.8989182,352.522745581,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943814359529283,995,1531943814358612015,base_link,0,1,40.5916557,-79.8989052,353.072741224,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943814605898032,996,1531943814604922781,base_link,0,1,40.5916959,-79.8989033,353.672726419,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943814857324669,997,1531943814856207019,base_link,0,1,40.5917386,-79.8989136,354.462698126,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943815106321067,998,1531943815102901142,base_link,0,1,40.5917759,-79.8989322,355.272663619,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943815376568208,999,1531943815375462174,base_link,0,1,40.5918149,-79.8989634,356.432615554,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943815637325901,1000,1531943815633082467,base_link,0,1,40.5918432,-79.8989962,357.692570315,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943815872176242,1001,1531943815871283453,base_link,0,1,40.5918692,-79.8990345,359.222520428,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943816102073336,1002,1531943816100951463,base_link,0,1,40.5918886,-79.899067,360.582479207,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943816380120483,1003,1531943816376534608,base_link,0,1,40.5919118,-79.8991065,362.392429272,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943816604186679,1004,1531943816601476249,base_link,0,1,40.5919294,-79.8991359,363.742391972,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943816828972994,1005,1531943816820825993,base_link,0,1,40.5919469,-79.8991644,364.862355636,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943817059423367,1006,1531943817058233110,base_link,0,1,40.5919661,-79.8991945,365.832316966,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943817327225178,1007,1531943817321907869,base_link,0,1,40.5919872,-79.899226,366.682276086,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943817594120728,1008,1531943817593108741,base_link,0,1,40.5920107,-79.8992584,367.222233299,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943817828145876,1009,1531943817825960144,base_link,0,1,40.5920291,-79.8992832,367.312200381,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943818040645345,1010,1531943818039791948,base_link,0,1,40.5920479,-79.8993082,367.172167098,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943818269436133,1011,1531943818267702555,base_link,0,1,40.5920684,-79.8993354,366.782130872,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943818536554600,1012,1531943818535321015,base_link,0,1,40.592091,-79.8993649,366.202091435,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943818808536461,1013,1531943818807633016,base_link,0,1,40.5921161,-79.8993971,365.432048217,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943818987750112,1014,1531943818986468881,base_link,0,1,40.5921325,-79.8994178,364.892020328,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943819238459127,1015,1531943819237648546,base_link,0,1,40.5921546,-79.8994455,364.16198295,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943819460218522,1016,1531943819459180903,base_link,0,1,40.5921736,-79.8994694,363.561950731,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943819738382745,1017,1531943819736714894,base_link,0,1,40.5922025,-79.8995063,362.731901174,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943819968357844,1018,1531943819965838868,base_link,0,1,40.5922235,-79.8995333,362.19186498,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943820165819884,1019,1531943820164565692,base_link,0,1,40.592245,-79.8995611,361.741827768,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943820422275491,1020,1531943820420710519,base_link,0,1,40.5922685,-79.8995912,361.361787392,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943820727460408,1021,1531943820721700288,base_link,0,1,40.592298,-79.8996286,361.021737108,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943820981084626,1022,1531943820980117055,base_link,0,1,40.5923216,-79.8996575,360.851697927,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943821168299664,1023,1531943821167245725,base_link,0,1,40.5923434,-79.8996835,360.711662448,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943821450299311,1024,1531943821449380570,base_link,0,1,40.5923693,-79.8997126,360.571622126,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943821656175940,1025,1531943821655378126,base_link,0,1,40.5923898,-79.8997338,360.511592083,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943821954628597,1026,1531943821952701261,base_link,0,1,40.592421,-79.8997634,360.41154908,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943822133351937,1027,1531943822132452716,base_link,0,1,40.5924398,-79.8997799,360.291524533,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943822371564776,1028,1531943822370562837,base_link,0,1,40.5924649,-79.8998001,360.041493628,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943822609805487,1029,1531943822608058437,base_link,0,1,40.5924918,-79.8998181,359.691464228,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943822889881325,1030,1531943822889009368,base_link,0,1,40.5925247,-79.899834,359.221434505,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943823167067699,1031,1531943823166139455,base_link,0,1,40.5925594,-79.8998437,358.721410361,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943823370623728,1032,1531943823369897977,base_link,0,1,40.5925883,-79.899847,358.301395125,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943823602596300,1033,1531943823602003987,base_link,0,1,40.5926178,-79.8998461,357.821383922,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943823873045801,1034,1531943823871784312,base_link,0,1,40.5926554,-79.8998382,357.171376526,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943824117672873,1035,1531943824117042161,base_link,0,1,40.5926871,-79.8998243,356.641377666,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943824396190888,1036,1531943824395246580,base_link,0,1,40.5927221,-79.8997992,356.14138886,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943824609166516,1037,1531943824608107425,base_link,0,1,40.5927452,-79.8997762,355.861402801,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943824884717304,1038,1531943824883812931,base_link,0,1,40.592772,-79.8997401,355.541428566,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943825114215130,1039,1531943825113539138,base_link,0,1,40.5927942,-79.8996973,355.311463042,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943825330816991,1040,1531943825330160935,base_link,0,1,40.5928077,-79.8996607,355.191494775,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943825606658790,1041,1531943825601493350,base_link,0,1,40.5928212,-79.8996059,355.201545044,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943825853217560,1042,1531943825851511181,base_link,0,1,40.5928279,-79.8995571,355.371591995,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943826073583761,1043,1531943826070323609,base_link,0,1,40.5928306,-79.899513,355.681635803,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943826328490114,1044,1531943826327550125,base_link,0,1,40.592831,-79.8994649,356.121684631,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943826567286202,1045,1531943826566314022,base_link,0,1,40.5928298,-79.8994101,356.671740944,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943826805891093,1046,1531943826804055403,base_link,0,1,40.5928282,-79.8993677,357.131784794,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943827070974154,1047,1531943827066613280,base_link,0,1,40.5928263,-79.8993187,357.711835494,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943827329166137,1048,1531943827327174194,base_link,0,1,40.5928248,-79.8992705,358.23188522,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943827571868744,1049,1531943827570534040,base_link,0,1,40.5928238,-79.8992262,358.68193077,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943827819815989,1050,1531943827810326378,base_link,0,1,40.5928235,-79.8991823,359.071975629,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943828012767689,1051,1531943828011740182,base_link,0,1,40.5928237,-79.8991421,359.332016515,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943828294796441,1052,1531943828290816714,base_link,0,1,40.5928247,-79.8990952,359.502063903,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943828519922597,1053,1531943828518151355,base_link,0,1,40.5928268,-79.8990514,359.612107685,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943828791866001,1054,1531943828790713055,base_link,0,1,40.5928304,-79.8990036,359.64215493,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943828996532569,1055,1531943828994993836,base_link,0,1,40.5928336,-79.8989668,359.60219113,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943829207936180,1056,1531943829207011903,base_link,0,1,40.5928378,-79.8989227,359.562234363,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943829457216893,1057,1531943829456506310,base_link,0,1,40.5928419,-79.8988809,359.522275295,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943829671981838,1058,1531943829671032826,base_link,0,1,40.5928464,-79.8988352,359.482320042,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943829945688812,1059,1531943829944622425,base_link,0,1,40.5928511,-79.898785,359.402369299,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943830165992797,1060,1531943830164818763,base_link,0,1,40.5928549,-79.8987412,359.312412403,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943830368306605,1061,1531943830367019484,base_link,0,1,40.5928581,-79.8987008,359.272452289,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943830624091309,1062,1531943830622593567,base_link,0,1,40.5928614,-79.8986489,359.262503865,0.384400005913,0.0,0.0,0.0,0.384400005913,0.0,0.0,0.0,1.53760002365,1
1531943830871323190,1063,1531943830869708457,base_link,0,1,40.5928638,-79.8985957,359.182557141,0.384400005913,0.0,0.0,0.0,0.384400005913,0.0,0.0,0.0,1.53760002365,1
1531943831138798217,1064,1531943831137766582,base_link,0,1,40.5928649,-79.8985427,359.082610753,0.384400005913,0.0,0.0,0.0,0.384400005913,0.0,0.0,0.0,1.53760002365,1
1531943831347522863,1065,1531943831345741605,base_link,0,1,40.5928647,-79.8985028,359.082651538,0.384400005913,0.0,0.0,0.0,0.384400005913,0.0,0.0,0.0,1.53760002365,1
1531943831576655931,1066,1531943831576000131,base_link,0,1,40.5928641,-79.8984572,359.232698307,0.384400005913,0.0,0.0,0.0,0.384400005913,0.0,0.0,0.0,1.53760002365,1
1531943831828676175,1067,1531943831825881137,base_link,0,1,40.5928636,-79.8984033,359.552753506,0.384400005913,0.0,0.0,0.0,0.384400005913,0.0,0.0,0.0,1.53760002365,1
1531943832075807232,1068,1531943832074912395,base_link,0,1,40.5928636,-79.8983546,359.772803199,0.384400005913,0.0,0.0,0.0,0.384400005913,0.0,0.0,0.0,1.53760002365,1
