%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z,field.twist.covariance0,field.twist.covariance1,field.twist.covariance2,field.twist.covariance3,field.twist.covariance4,field.twist.covariance5,field.twist.covariance6,field.twist.covariance7,field.twist.covariance8,field.twist.covariance9,field.twist.covariance10,field.twist.covariance11,field.twist.covariance12,field.twist.covariance13,field.twist.covariance14,field.twist.covariance15,field.twist.covariance16,field.twist.covariance17,field.twist.covariance18,field.twist.covariance19,field.twist.covariance20,field.twist.covariance21,field.twist.covariance22,field.twist.covariance23,field.twist.covariance24,field.twist.covariance25,field.twist.covariance26,field.twist.covariance27,field.twist.covariance28,field.twist.covariance29,field.twist.covariance30,field.twist.covariance31,field.twist.covariance32,field.twist.covariance33,field.twist.covariance34,field.twist.covariance35
1531943810885663324,998,1531943810884418155,map,base_link,-111.645811304,50.3962563716,35.605,0.430355280624,0.0100020537959,-0.00634773302409,-0.902581850939,0.435600034618,0.0,0.0,0.0,0.0,0.0,0.0,0.435600034618,0.0,0.0,0.0,0.0,0.0,0.0,1.74240013847,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,-0.39,19.49,0.04,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811114672270,999,1531943811112639880,map,base_link,-107.243643616,50.5183510675,35.869,0.192815652867,0.0357816614945,-0.0586542927737,-0.978826578434,0.435600034618,0.0,0.0,0.0,0.0,0.0,0.0,0.435600034618,0.0,0.0,0.0,0.0,0.0,0.0,1.74240013847,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.62,19.26,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811369291261,1000,1531943811368075341,map,base_link,-102.833014969,50.6071348639,36.408,0.192815652867,0.0357816614945,-0.0586542927737,-0.978826578434,0.396899993992,0.0,0.0,0.0,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.36,18.87,-1.83,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811635825621,1001,1531943811634012524,map,base_link,-97.8297936802,50.4404960829,37.247,-0.115040466481,0.0463108334785,-0.108915435493,-0.986285164486,0.396899993992,0.0,0.0,0.0,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,-0.09,18.1,-2.72,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811883607419,1002,1531943811882505033,map,base_link,-93.6731425728,50.3071871527,38.126,0.0893909549218,0.0853818927019,-0.110568628532,-0.986150986392,0.396899993992,0.0,0.0,0.0,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.39,17.38,-3.12,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812110607918,1003,1531943812109279103,map,base_link,-89.6265416792,50.3959859735,38.993,0.222648565727,0.0928291957041,-0.0904932205825,-0.966240825899,0.396899993992,0.0,0.0,0.0,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,0.0,0.0,0.0,1.58759997597,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,1.29,16.89,-3.03,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812391683731,1004,1531943812390208837,map,base_link,-85.6137969353,50.7957320876,39.708,0.222648565727,0.0928291957041,-0.0904932205825,-0.966240825899,0.435600034618,0.0,0.0,0.0,0.0,0.0,0.0,0.435600034618,0.0,0.0,0.0,0.0,0.0,0.0,1.74240013847,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,2.33,16.71,-2.49,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812625448114,1005,1531943812622984241,map,base_link,-81.3132104134,51.5730527935,40.191,0.297462736201,0.099476162262,-0.109967832473,-0.943147649912,0.372100017452,0.0,0.0,0.0,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,0.0,0.0,0.0,1.48840006981,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,3.7,16.21,-1.81,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812863221310,1006,1531943812860496001,map,base_link,-77.4359044426,52.6946408059,40.521,0.352863325419,0.136949070677,-0.177656852116,-0.908388941209,0.372100017452,0.0,0.0,0.0,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,0.0,0.0,0.0,1.48840006981,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,5.48,15.55,-1.49,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813108394160,1007,1531943813107751800,map,base_link,-73.7448393419,54.3270722418,40.803,0.352863325419,0.136949070677,-0.177656852116,-0.908388941209,0.372100017452,0.0,0.0,0.0,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,0.0,0.0,0.0,1.48840006981,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.0,7.8,14.64,-1.58,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
