%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1531943810933532215,1286,1531943810933254299,base_link,0,1,40.5914601,-79.8995372,349.262177802,0.435600034618,0.0,0.0,0.0,0.435600034618,0.0,0.0,0.0,1.74240013847,1
1531943811143669052,1287,1531943811143058500,base_link,0,1,40.5914577,-79.8994915,349.442225421,0.435600034618,0.0,0.0,0.0,0.435600034618,0.0,0.0,0.0,1.74240013847,1
1531943811337496467,1288,1531943811337205271,base_link,0,1,40.5914567,-79.8994467,349.682271542,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1531943811548847210,1289,1531943811548014901,base_link,0,1,40.591456,-79.8994019,350.002317541,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1531943811742431204,1290,1531943811741930763,base_link,0,1,40.5914552,-79.8993577,350.452362974,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1531943811969366837,1291,1531943811968449121,base_link,0,1,40.5914548,-79.8993146,350.99240712,0.396899993992,0.0,0.0,0.0,0.396899993992,0.0,0.0,0.0,1.58759997597,1
1531943812166457926,1292,1531943812166114795,base_link,0,1,40.5914552,-79.8992725,351.632449915,0.47609999671,0.0,0.0,0.0,0.47609999671,0.0,0.0,0.0,1.90439998684,1
1531943812372751972,1293,1531943812372240394,base_link,0,1,40.5914572,-79.8992311,352.252491331,0.435600034618,0.0,0.0,0.0,0.435600034618,0.0,0.0,0.0,1.74240013847,1
1531943812555253104,1294,1531943812554350491,base_link,0,1,40.5914608,-79.8991897,352.802532083,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943812733277173,1295,1531943812732904026,base_link,0,1,40.5914659,-79.899149,353.242571496,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943812938656158,1296,1531943812937755753,base_link,0,1,40.5914734,-79.8991092,353.602608991,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943813139883104,1297,1531943813138976523,base_link,0,1,40.5914834,-79.8990706,353.922644221,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943813374089569,1298,1531943813373047982,base_link,0,1,40.5914973,-79.8990333,354.262676498,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943813546266965,1299,1531943813545922426,base_link,0,1,40.5915155,-79.8989987,354.702704226,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943813812166052,1300,1531943813810908371,base_link,0,1,40.5915379,-79.8989678,355.142726427,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943813935572100,1301,1531943813934880653,base_link,0,1,40.591564,-79.898941,355.622742901,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943814139858564,1302,1531943814139022351,base_link,0,1,40.5915927,-79.898919,356.142753394,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943814342338813,1303,1531943814341689318,base_link,0,1,40.5916238,-79.8989024,356.652757377,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943814538766147,1304,1531943814537613426,base_link,0,1,40.5916564,-79.8988921,357.242754306,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943814758010248,1305,1531943814757736203,base_link,0,1,40.5916898,-79.8988891,357.902743455,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943814939901798,1306,1531943814932618242,base_link,0,1,40.5917233,-79.8988931,358.622725422,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943815144562823,1307,1531943815140073280,base_link,0,1,40.591756,-79.8989037,359.382700991,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943815360308478,1308,1531943815359907427,base_link,0,1,40.5917871,-79.8989203,360.212671107,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943815539846782,1309,1531943815539282437,base_link,0,1,40.5918156,-79.898942,361.122637105,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943815737515065,1310,1531943815733057746,base_link,0,1,40.5918408,-79.8989681,362.14259999,0.372100017452,0.0,0.0,0.0,0.372100017452,0.0,0.0,0.0,1.48840006981,1
1531943815967191008,1311,1531943815966916291,base_link,0,1,40.5918632,-79.8989968,363.252561392,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943816144485313,1312,1531943816143149042,base_link,0,1,40.5918831,-79.8990258,364.362523531,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943816340520023,1313,1531943816340126492,base_link,0,1,40.5919013,-79.8990547,365.482486483,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943816543116570,1314,1531943816542262725,base_link,0,1,40.5919183,-79.8990835,366.56245004,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943816748625240,1315,1531943816748118750,base_link,0,1,40.5919346,-79.8991115,367.532414707,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943816980995779,1316,1531943816980555017,base_link,0,1,40.5919502,-79.8991382,368.392380994,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943817146190146,1317,1531943817145082512,base_link,0,1,40.5919654,-79.8991644,369.092347961,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943817366557962,1318,1531943817366304845,base_link,0,1,40.5919809,-79.8991899,369.652315521,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943817533930286,1319,1531943817533435892,base_link,0,1,40.5919968,-79.8992139,370.172284448,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943817776154723,1320,1531943817775883367,base_link,0,1,40.5920129,-79.8992375,370.362253703,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
1531943817974863228,1321,1531943817974557728,base_link,0,1,40.5920291,-79.8992612,370.332222818,0.348099969053,0.0,0.0,0.0,0.348099969053,0.0,0.0,0.0,1.39239987621,1
