%time,field.data
1531943810885789946,35.605
1531943811114679502,35.869
1531943811369277886,36.408
1531943811635856276,37.247
1531943811883604827,38.126
1531943812110634157,38.993
1531943812391709810,39.708
1531943812625447410,40.191
1531943812863253726,40.521
1531943813108448271,40.803
1531943813388963780,41.151
1531943813609942540,41.483
1531943813895326787,41.976
1531943814120513562,42.358
1531943814359553283,42.903
1531943814606007791,43.503
1531943814857365308,44.295
1531943815106357706,45.106
1531943815376626383,46.265
1531943815637345197,47.52
1531943815872353488,49.055
1531943816102114392,50.414
1531943816380228866,52.222
1531943816604221431,53.578
1531943816829028609,54.699
1531943817060200957,55.661
1531943817327264889,56.513
1531943817594245238,57.058
1531943817831013264,57.147
1531943818040799903,57.001
1531943818269563204,56.618
1531943818536678054,56.031
1531943818808796042,55.268
1531943818988130684,54.727
1531943819238515287,53.997
1531943819461819654,53.399
1531943819738446872,52.561
1531943819968800815,52.025
1531943820166404709,51.571
1531943820423821072,51.198
1531943820727524983,50.859
1531943820981238097,50.688
1531943821168851625,50.546
1531943821450314382,50.406
1531943821656214243,50.347
1531943821954975441,50.245
1531943822133381216,50.127
1531943822371616904,49.872
1531943822609831119,49.523
1531943822890000460,49.05
1531943823167103475,48.559
1531943823370762606,48.131
1531943823602809033,47.651
1531943823873168167,47.001
1531943824117769320,46.472
1531943824396252487,45.976
1531943824609180916,45.696
1531943824884760951,45.378
1531943825114257946,45.142
1531943825330845087,45.026
1531943825606714726,45.03
1531943825853717842,45.207
1531943826073617008,45.514
1531943826328522913,45.951
1531943826567363737,46.507
1531943826805931764,46.964
1531943827070999978,47.547
1531943827329205241,48.069
1531943827571983046,48.512
1531943827819861365,48.903
1531943828012823337,49.16
1531943828295118549,49.333
1531943828519978181,49.442
1531943828791948592,49.471
1531943828996679863,49.435
1531943829207993523,49.391
1531943829457269244,49.352
1531943829672193708,49.312
1531943829945832202,49.239
1531943830166026333,49.143
1531943830368657672,49.107
1531943830624312394,49.091
1531943830871417397,49.01
1531943831138838217,48.917
1531943831347569519,48.919
1531943831576768666,49.066
1531943831828747310,49.384
1531943832075834656,49.603
1531943832335269600,49.712
1531943832525793961,49.719
1531943832795825288,49.792
1531943833027929654,49.914
1531943833257732997,50.067
1531943833477316656,50.232
1531943833730305669,50.304
1531943833962532502,50.342
1531943834230284667,50.381
1531943834476622822,50.403
1531943834776123082,50.484
1531943834952469417,50.532
1531943835164483705,50.56
1531943835424761057,50.621
1531943835615720563,50.671
1531943835878186784,50.544
1531943836105908278,50.218
1531943836372207611,49.856
1531943836582770403,49.541
1531943836823301312,49.251
1531943837035943920,49.091
1531943837314015724,49.001
1531943837527760211,49.03
1531943837768907822,49.169
1531943838015987393,49.369
1531943838231604054,49.58
1531943838493364670,49.782
1531943838756702898,49.919
1531943839022545417,50.033
1531943839213910887,50.147
1531943839457723084,50.312
1531943839714152282,50.308
1531943839957544005,50.304
1531943840236319690,50.244
1531943840485667475,50.143
1531943840741156690,49.997
1531943840971684349,49.882
1531943841208328707,49.793
1531943841447274286,49.627
1531943841663692263,49.375
1531943841926285206,49.036
1531943842194240137,48.793
1531943842453258281,48.661
1531943842651612480,48.493
1531943842871274935,48.186
1531943843126373001,47.816
1531943843375294503,47.451
1531943843643985145,47.257
1531943843874744049,47.318
1531943844130493569,47.502
1531943844354444143,47.635
1531943844593556488,47.759
1531943844837252458,47.925
1531943845056852045,48.281
1531943845363472359,48.926
1531943845575299531,49.464
1531943845824533969,50.036
1531943846075224519,50.459
1531943846329127515,50.8
1531943846571708341,51.003
1531943846798952646,51.112
1531943847041320740,51.205
1531943847286540740,51.225
1531943847545822174,51.176
1531943847808281138,51.018
1531943848046151659,50.755
1531943848283380399,50.466
1531943848569065236,50.116
1531943848794227943,49.876
1531943849045393383,49.64
1531943849280234188,49.448
1531943849536045721,49.339
1531943849744901938,49.349
1531943850034541424,49.526
1531943850244653407,49.714
1531943850472696474,49.908
1531943850731380619,49.994
1531943850968083648,50.01
1531943851226966067,50.016
1531943851496486505,50.089
1531943851707946028,50.155
1531943851963873762,50.228
1531943852176049152,50.337
1531943852410999923,50.466
1531943852666946959,50.607
1531943852921246238,50.701
1531943853159063635,50.73
1531943853402470535,50.649
