%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1531943810879747559,2310,1531943810878600982,base_link,-194000.0,440000.0,-250000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943810955285953,2311,1531943810954521707,base_link,-194000.0,440000.0,-250000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811062073357,2312,1531943811058928693,base_link,-172000.0,393000.0,-325000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811149640752,2313,1531943811149100183,base_link,-161000.0,330000.0,-387000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811240948835,2314,1531943811238598369,base_link,-149000.0,260000.0,-431000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811360569485,2315,1531943811359848342,base_link,-139000.0,197000.0,-460000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811483066322,2316,1531943811476068587,base_link,-143000.0,124000.0,-473000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811574056745,2317,1531943811573097589,base_link,-144000.0,161000.0,-465000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811669897954,2318,1531943811668589491,base_link,-144000.0,161000.0,-465000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811772973407,2319,1531943811772196265,base_link,-148000.0,282000.0,-411000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811879501936,2320,1531943811878873240,base_link,-159000.0,324000.0,-381000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943811976169790,2321,1531943811974639890,base_link,-183000.0,356000.0,-353000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812071812764,2322,1531943812070572523,base_link,-183000.0,356000.0,-353000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812174173924,2323,1531943812173523276,base_link,-204000.0,380000.0,-330000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812281024788,2324,1531943812280339708,base_link,-203000.0,415000.0,-296000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812379595853,2325,1531943812378159967,base_link,-154000.0,424000.0,-271000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812466547865,2326,1531943812465227754,base_link,-132000.0,431000.0,-255000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812573759748,2327,1531943812572784881,base_link,-120000.0,435000.0,-247000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812654002566,2328,1531943812653361967,base_link,-120000.0,435000.0,-247000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812785278687,2329,1531943812782943421,base_link,-168000.0,448000.0,-235000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812857797859,2330,1531943812857131468,base_link,-168000.0,448000.0,-235000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943812979515830,2331,1531943812977891050,base_link,-178000.0,456000.0,-229000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813086848834,2332,1531943813085926701,base_link,-160000.0,457000.0,-225000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813150440154,2333,1531943813149696451,base_link,-160000.0,457000.0,-225000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813325387659,2334,1531943813323819839,base_link,-137000.0,459000.0,-218000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813382419895,2335,1531943813380956201,base_link,-139000.0,461000.0,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813446573832,2336,1531943813445749810,base_link,-139000.0,461000.0,-212000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813570535521,2337,1531943813569256337,base_link,-127000.0,461000.0,-210000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813675422861,2338,1531943813671795771,base_link,-132000.0,461000.0,-215000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813846775884,2339,1531943813843833329,base_link,-102000.0,454000.0,-232000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813873015615,2340,1531943813872263400,base_link,-102000.0,454000.0,-232000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943813972940265,2341,1531943813972481711,base_link,-85000.0,446000.0,-242000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943814057417881,2342,1531943814044827097,base_link,-85000.0,446000.0,-242000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943814166235062,2343,1531943814165577726,base_link,-91000.0,441000.0,-247000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943814256497214,2344,1531943814255318701,base_link,-72000.0,439000.0,-254000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943814349212166,2345,1531943814348370801,base_link,-69000.0,434000.0,-263000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943814477673834,2346,1531943814476384666,base_link,-68000.0,426000.0,-277000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943814561639137,2347,1531943814561211047,base_link,-81000.0,418000.0,-289000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943814644698372,2348,1531943814644049420,base_link,-71000.0,413000.0,-299000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943814775086607,2349,1531943814774476151,base_link,-80000.0,402000.0,-316000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943814852345244,2350,1531943814850539859,base_link,-80000.0,402000.0,-316000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943814966103226,2351,1531943814965549953,base_link,-36000.0,392000.0,-328000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943815059398684,2352,1531943815058546375,base_link,-27000.0,369000.0,-347000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943815153847698,2353,1531943815152411652,base_link,-27000.0,369000.0,-347000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943815266505088,2354,1531943815264659128,base_link,-18000.0,352000.0,-365000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943815369079663,2355,1531943815368594485,base_link,-40000.0,317000.0,-399000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943815453826782,2356,1531943815453359012,base_link,-40000.0,317000.0,-399000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943815551028401,2357,1531943815550379577,base_link,-42000.0,300000.0,-411000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943815657679435,2358,1531943815656584697,base_link,-64000.0,278000.0,-426000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943815771456940,2359,1531943815770824948,base_link,-70000.0,209000.0,-461000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943815857181392,2360,1531943815855862752,base_link,-70000.0,209000.0,-461000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943815974670433,2361,1531943815972964823,base_link,-80000.0,129000.0,-485000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943816081779033,2362,1531943816079963439,base_link,-80000.0,129000.0,-485000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943816163525905,2363,1531943816162648732,base_link,-87000.0,86000.0,-490000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943816255671462,2364,1531943816251679352,base_link,-89000.0,38000.0,-494000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943816373505751,2365,1531943816372716736,base_link,-83000.0,-45000.0,-488000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943816457675024,2366,1531943816456311617,base_link,-83000.0,-45000.0,-488000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943816556616879,2367,1531943816555306880,base_link,-76000.0,-80000.0,-480000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943816646848637,2368,1531943816646348195,base_link,-65000.0,-105000.0,-474000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943816765259302,2369,1531943816757001966,base_link,-54000.0,-131000.0,-468000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943816836705600,2370,1531943816836176167,base_link,-31000.0,-159000.0,-457000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943816990406476,2371,1531943816989376025,base_link,-7000.0,-178000.0,-449000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943817052969080,2372,1531943817052380895,base_link,-7000.0,-178000.0,-449000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943817155405550,2373,1531943817153630372,base_link,1000.0,-183000.0,-447000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943817262961251,2374,1531943817259358352,base_link,15000.0,-192000.0,-441000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943817377424353,2375,1531943817376357039,base_link,49000.0,-195000.0,-437000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943817450128398,2376,1531943817447325937,base_link,49000.0,-195000.0,-437000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943817572823012,2377,1531943817572214956,base_link,70000.0,-187000.0,-436000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943817644341311,2378,1531943817642782547,base_link,70000.0,-187000.0,-436000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943817764159226,2379,1531943817763680032,base_link,98000.0,-181000.0,-432000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943817857607137,2380,1531943817856737324,base_link,98000.0,-181000.0,-432000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943817956182952,2381,1531943817955524752,base_link,109000.0,-174000.0,-431000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943818050149225,2382,1531943818049013944,base_link,123000.0,-161000.0,-436000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943818154496746,2383,1531943818153861778,base_link,130000.0,-147000.0,-437000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943818251005101,2384,1531943818250205943,base_link,140000.0,-132000.0,-439000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943818376585090,2385,1531943818376046281,base_link,151000.0,-118000.0,-440000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943818458201440,2386,1531943818455445539,base_link,157000.0,-108000.0,-443000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943818575735931,2387,1531943818572256231,base_link,169000.0,-93000.0,-442000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943818668465102,2388,1531943818667412795,base_link,171000.0,-87000.0,-441000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943818768364838,2389,1531943818767410482,base_link,176000.0,-87000.0,-442000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1531943818867071885,2390,1531943818863591801,base_link,176000.0,-87000.0,-442000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
