%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1531943810883182331,2310,1531943810882826784,base_link,60.04,0.0
1531943810958558103,2311,1531943810958133181,base_link,60.04,0.0
1531943811062925506,2312,1531943811061840688,base_link,60.03,0.0
1531943811153422272,2313,1531943811153166979,base_link,60.02,0.0
1531943811245081006,2314,1531943811244522581,base_link,60.01,0.0
1531943811366109030,2315,1531943811365744011,base_link,59.99,0.0
1531943811483151441,2316,1531943811478326190,base_link,59.98,0.0
1531943811587158562,2317,1531943811586099311,base_link,59.97,0.0
1531943811671505837,2318,1531943811671178002,base_link,59.96,0.0
1531943811775219202,2319,1531943811774945670,base_link,59.95,0.0
1531943811881723283,2320,1531943811881438103,base_link,59.94,0.0
1531943811977339791,2321,1531943811977085970,base_link,59.93,0.0
1531943812073276393,2322,1531943812073060332,base_link,59.93,0.0
1531943812179683422,2323,1531943812176751843,base_link,59.92,0.0
1531943812284621734,2324,1531943812284243979,base_link,59.9,0.0
1531943812381423541,2325,1531943812381118233,base_link,59.89,0.0
1531943812477870345,2326,1531943812477575853,base_link,59.88,0.0
1531943812576782078,2327,1531943812576093318,base_link,59.87,0.0
1531943812657325276,2328,1531943812657096991,base_link,59.87,0.0
1531943812787241126,2329,1531943812786655693,base_link,59.85,0.0
1531943812859705579,2330,1531943812859175218,base_link,59.85,0.0
1531943812984618453,2331,1531943812982756812,base_link,59.83,0.0
1531943813088579372,2332,1531943813088191280,base_link,59.82,0.0
1531943813152765116,2333,1531943813152088325,base_link,59.82,0.0
1531943813352947181,2334,1531943813348250697,base_link,59.8,0.0
1531943813384227904,2335,1531943813383748454,base_link,59.79,0.0
1531943813451422730,2336,1531943813451006159,base_link,59.79,0.0
1531943813573111136,2337,1531943813572788772,base_link,59.78,0.0
1531943813675445388,2338,1531943813673291368,base_link,59.76,0.0
1531943813846797004,2339,1531943813845838136,base_link,59.75,0.0
1531943813890935547,2340,1531943813890628863,base_link,59.74,0.0
1531943813974551669,2341,1531943813974316024,base_link,59.73,0.0
1531943814057484857,2342,1531943814051187272,base_link,59.73,0.0
1531943814172515526,2343,1531943814172107819,base_link,59.72,0.0
1531943814272856622,2344,1531943814271753596,base_link,59.7,0.0
1531943814357481885,2345,1531943814357241568,base_link,59.7,0.0
1531943814480474310,2346,1531943814477367374,base_link,59.68,0.0
1531943814563945572,2347,1531943814562836466,base_link,59.68,0.0
1531943814647919099,2348,1531943814647425218,base_link,59.67,0.0
1531943814777211668,2349,1531943814776973559,base_link,59.65,0.0
1531943814854623327,2350,1531943814854345219,base_link,59.65,0.0
1531943814968224095,2351,1531943814967924835,base_link,59.64,0.0
1531943815060817739,2352,1531943815060427919,base_link,59.62,0.0
1531943815157147272,2353,1531943815155632155,base_link,59.62,0.0
1531943815274752920,2354,1531943815270867977,base_link,59.6,0.0
1531943815374635624,2355,1531943815374299117,base_link,59.59,0.0
1531943815456400094,2356,1531943815456191137,base_link,59.59,0.0
1531943815554148713,2357,1531943815551298893,base_link,59.58,0.0
1531943815659739185,2358,1531943815659456789,base_link,59.56,0.0
1531943815773597265,2359,1531943815773340116,base_link,59.55,0.0
1531943815858587518,2360,1531943815858223714,base_link,59.55,0.0
1531943815975984145,2361,1531943815975007645,base_link,59.53,0.0
1531943816081813656,2362,1531943816080490185,base_link,59.53,0.0
1531943816164131849,2363,1531943816163714382,base_link,59.5,0.0
1531943816257647949,2364,1531943816256246047,base_link,59.5,0.0
1531943816375282976,2365,1531943816374985188,base_link,59.49,0.0
1531943816480052246,2366,1531943816479709882,base_link,59.48,0.0
1531943816563548696,2367,1531943816560341280,base_link,59.48,0.0
1531943816647947247,2368,1531943816647698834,base_link,59.47,0.0
1531943816766418583,2369,1531943816766022268,base_link,59.46,0.0
1531943816838420427,2370,1531943816838088463,base_link,59.45,0.0
1531943816993743394,2371,1531943816991389856,base_link,59.42,0.0
1531943817055966866,2372,1531943817055536120,base_link,59.42,0.0
1531943817158019053,2373,1531943817157718385,base_link,59.41,0.0
1531943817265902558,2374,1531943817263591355,base_link,59.4,0.0
1531943817380772887,2375,1531943817380413084,base_link,59.39,0.0
