%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1531943810887628258,981,1531943810886923691,map,-109.620780945,43.7174758911,35.6059951782,0.430355280624,0.0100020537959,-0.00634773302409,-0.902581850939
1531943811116123452,982,1531943811115416485,map,-105.221359253,43.8451194763,35.8698158264,0.192815652867,0.0357816614945,-0.0586542927737,-0.978826578434
1531943811371233829,983,1531943811370583181,map,-100.818092346,43.9329071045,36.4081230164,0.192815652867,0.0357816614945,-0.0586542927737,-0.978826578434
1531943811636340014,984,1531943811635830869,map,-95.8231506348,43.7655906677,37.2472991943,-0.115040466481,0.0463108334785,-0.108915435493,-0.986285164486
1531943811895495267,985,1531943811894824780,map,-91.3335113525,43.6272544861,38.2012329102,0.0893909549218,0.0853818927019,-0.110568628532,-0.986150986392
1531943812113013359,986,1531943812112339640,map,-87.6285476685,43.7214012146,38.9936447144,0.222648565727,0.0928291957041,-0.0904932205825,-0.966240825899
1531943812398005410,987,1531943812396912496,map,-83.621963501,44.1259307861,39.7082595825,0.222648565727,0.0928291957041,-0.0904932205825,-0.966240825899
1531943812633620362,988,1531943812632502936,map,-79.3293762207,44.9022903442,40.191116333,0.297462736201,0.099476162262,-0.109967832473,-0.943147649912
1531943812864309905,989,1531943812862993633,map,-75.4616928101,46.0278968811,40.5210494995,0.352863325419,0.136949070677,-0.177656852116,-0.908388941209
1531943813109871709,990,1531943813109222693,map,-71.4755401611,47.8259277344,40.8297271729,0.352863325419,0.136949070677,-0.177656852116,-0.908388941209
1531943813389366879,991,1531943813388664615,map,-67.8253097534,50.3763847351,41.1514091492,0.374671410681,0.217356371889,-0.299898862849,-0.849963654328
1531943813612126417,992,1531943813611524344,map,-64.8854141235,53.4401741028,41.4838981628,0.374671410681,0.217356371889,-0.299898862849,-0.849963654328
1531943813923008387,993,1531943813922365868,map,-62.0315170288,58.0231018066,42.0148010254,0.350326033984,0.275605336072,-0.383530294025,-0.808837364497
1531943814131831050,994,1531943814126899433,map,-60.7842445374,61.0536689758,42.358039856,0.328264529387,0.322558127562,-0.472648891994,-0.751532885499
1531943814364074954,995,1531943814360188987,map,-59.6871871948,65.7629470825,42.9032554626,0.288277570057,0.367327244058,-0.551564230681,-0.691190015703
1531943814614490435,996,1531943814612860248,map,-59.5545768738,70.5927963257,43.5567474365,0.288277570057,0.367327244058,-0.551564230681,-0.691190015703
1531943814858536941,997,1531943814858095603,map,-60.3907737732,74.9908599854,44.2956771851,0.226108829297,0.40992685242,-0.650250186156,-0.598338924342
1531943815107518556,998,1531943815106963843,map,-61.9672622681,79.1377639771,45.1064147949,0.162997675495,0.416341107835,-0.721099750799,-0.529251347762
1531943815378326810,999,1531943815377851392,map,-64.6019287109,83.4819030762,46.2656974792,0.162997675495,0.416341107835,-0.721099750799,-0.529251347762
1531943815637398860,1000,1531943815636565047,map,-67.3780517578,86.6330032349,47.520778656,0.0330060528884,0.385235395776,-0.816158322496,-0.429406430941
1531943815874298807,1001,1531943815873723166,map,-70.6170959473,89.5313034058,49.0556526184,0.0330060528884,0.385235395776,-0.816158322496,-0.429406430941
