%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1531943810861316819,2056,1531943810860078371,NED,15.0,17.666934967
1531943810911746830,2057,1531943810910390847,NED,15.0,17.3725376129
1531943810936674351,2058,1531943810936391091,NED,15.0,17.3725376129
1531943810997332967,2059,1531943810996246645,NED,15.0,17.3264045715
1531943811056864304,2060,1531943811056343862,NED,15.0,17.3264045715
1531943811093201824,2061,1531943811092076207,NED,15.0,17.3904266357
1531943811148380416,2062,1531943811147594378,NED,15.0,17.3904266357
1531943811220507784,2063,1531943811219052442,NED,15.0,17.5180244446
1531943811237922346,2064,1531943811237387024,NED,15.0,17.5180244446
1531943811300848007,2065,1531943811300421196,NED,16.0,17.5699577332
1531943811341976666,2066,1531943811340966183,NED,16.0,17.5699577332
1531943811432208827,2067,1531943811430439441,NED,16.0,17.6487178802
1531943811554023560,2068,1531943811553467471,NED,16.0,17.8103218079
1531943811626117169,2069,1531943811623238581,NED,16.0,18.0105991364
1531943811665065728,2070,1531943811664464007,NED,16.0,18.0105991364
1531943811748959985,2071,1531943811746181525,NED,16.0,18.1939353943
1531943811824474894,2072,1531943811823916853,NED,16.0,18.2109794617
1531943811877386859,2073,1531943811876744467,NED,16.0,18.0062847137
1531943811910556739,2074,1531943811909970571,NED,16.0,18.0062847137
1531943811973608895,2075,1531943811972666155,NED,16.0,17.5892124176
1531943812018963293,2076,1531943812017231155,NED,16.0,17.5892124176
1531943812071501440,2077,1531943812068825346,NED,16.0,17.5892124176
1531943812094014337,2078,1531943812093331978,NED,16.0,17.4574756622
1531943812171388168,2079,1531943812170942637,NED,16.0,17.4574756622
1531943812230538198,2080,1531943812230014365,NED,16.0,17.3443050385
1531943812320396830,2081,1531943812317271110,NED,16.0,17.0668945312
1531943812378463227,2082,1531943812376430805,NED,16.0,17.0668945312
1531943812428112483,2083,1531943812417928676,NED,16.0,16.6344661713
1531943812466198846,2084,1531943812464632754,NED,16.0,16.6344661713
1531943812496336350,2085,1531943812494004220,NED,16.0,16.2761611938
1531943812560885320,2086,1531943812559396315,NED,16.0,16.2761611938
1531943812626799713,2087,1531943812619033796,NED,16.0,16.1145191193
1531943812652283900,2088,1531943812651832066,NED,16.0,16.1145191193
1531943812713658511,2089,1531943812713109878,NED,16.0,16.1450061798
1531943812781724460,2090,1531943812780763448,NED,16.0,16.1973133087
1531943812832720899,2091,1531943812832061739,NED,16.0,16.1973133087
1531943812842844674,2092,1531943812842248041,NED,16.0,16.1973133087
1531943812897986276,2093,1531943812895877919,NED,16.0,16.3381690979
1531943812945518598,2094,1531943812942884584,NED,16.0,16.3381690979
1531943813019979251,2095,1531943813000052784,NED,16.0,16.5089912415
1531943813082231164,2096,1531943813081687907,NED,16.0,16.8226852417
1531943813105391670,2097,1531943813105065946,NED,16.0,16.8226852417
1531943813143634064,2098,1531943813142868538,NED,16.0,16.8226852417
1531943813234993128,2099,1531943813234719787,NED,16.0,17.1945075989
1531943813369236446,2100,1531943813368592838,NED,16.0,17.5254211426
1531943813425041465,2101,1531943813418133297,NED,16.0,17.9018363953
1531943813446105646,2102,1531943813443965097,NED,16.0,17.9018363953
1531943813514166861,2103,1531943813512894461,NED,16.0,17.9684391022
1531943813566976494,2104,1531943813566416917,NED,16.0,17.9684391022
1531943813598573885,2105,1531943813598257153,NED,16.0,18.0248756409
1531943813675658474,2106,1531943813671256738,NED,16.0,18.0248756409
1531943813702704658,2107,1531943813701021415,NED,16.0,18.1173343658
1531943813826885673,2108,1531943813825871701,NED,16.0,18.0835418701
1531943813870934873,2109,1531943813870372512,NED,16.0,18.0835418701
1531943813941082014,2110,1531943813939146806,NED,16.0,18.0057830811
1531943813955852898,2111,1531943813954259510,NED,16.0,18.0057830811
1531943814005540651,2112,1531943814001057028,NED,16.0,18.0658493042
1531943814042875282,2113,1531943814041202599,NED,16.0,18.0658493042
1531943814117714013,2114,1531943814115565560,NED,16.0,18.1995658875
1531943814149544585,2115,1531943814148954065,NED,16.0,18.1995658875
1531943814228673342,2116,1531943814220176330,NED,16.0,18.3209953308
1531943814254483671,2117,1531943814254048861,NED,16.0,18.3209953308
1531943814297536501,2118,1531943814296308741,NED,16.0,18.4952163696
1531943814346548296,2119,1531943814346065582,NED,16.0,18.4952163696
1531943814398349943,2120,1531943814397984284,NED,16.0,18.8080158234
1531943814466515287,2121,1531943814465440389,NED,16.0,18.8080158234
1531943814498689663,2122,1531943814498228357,NED,16.0,19.0157260895
1531943814561144648,2123,1531943814560662446,NED,16.0,19.0157260895
1531943814603475343,2124,1531943814600403766,NED,16.0,19.2669639587
1531943814641918696,2125,1531943814641560908,NED,16.0,19.2669639587
1531943814719956074,2126,1531943814719155284,NED,16.0,19.5359992981
1531943814761398557,2127,1531943814761123616,NED,16.0,19.5359992981
1531943814818223180,2128,1531943814817167962,NED,16.0,19.719379425
1531943814850241431,2129,1531943814849012678,NED,16.0,19.719379425
1531943814898209782,2130,1531943814897127108,NED,16.0,19.9013710022
1531943814963622489,2131,1531943814959996007,NED,16.0,19.9013710022
1531943814998350497,2132,1531943814993266081,NED,16.0,19.9703636169
1531943815053480519,2133,1531943815052086681,NED,16.0,19.9703636169
1531943815105754194,2134,1531943815101589863,NED,16.0,20.0048141479
1531943815154106222,2135,1531943815151927114,NED,16.0,20.0048141479
1531943815196235097,2136,1531943815195802655,NED,16.0,20.011089325
1531943815261401377,2137,1531943815260880359,NED,16.0,20.011089325
1531943815314442242,2138,1531943815313958088,NED,16.0,20.001329422
1531943815366889482,2139,1531943815365936534,NED,16.0,19.9561233521
1531943815395666590,2140,1531943815394427406,NED,16.0,19.9561233521
1531943815448758719,2141,1531943815448290756,NED,16.0,19.9561233521
1531943815493805957,2142,1531943815492446166,NED,16.0,19.849937439
1531943815547682523,2143,1531943815542651355,NED,16.0,19.849937439
