%time,field.header.seq,field.header.stamp,field.header.frame_id,field.alt_error,field.aspd_error,field.xtrack_error,field.wp_dist
1531943810870275264,2093,1531943810869510762,NED,-0.0599999986589,-237.253753662,-36.4300537109,7
1531943810909166575,2094,1531943810907641378,NED,-0.0599999986589,-237.253753662,-36.4300537109,7
1531943810935538846,2095,1531943810934850023,NED,-0.0599999986589,-237.253753662,-36.4300537109,7
1531943810994961958,2096,1531943810993349018,NED,-0.119999997318,-232.640457153,-34.6491241455,9
1531943811027997440,2097,1531943811026702513,NED,-0.119999997318,-232.640457153,-34.6491241455,9
1531943811090073160,2098,1531943811088513340,NED,-0.239999994636,-239.042663574,-32.7995071411,11
1531943811146388794,2099,1531943811145077738,NED,-0.239999994636,-239.042663574,-32.7995071411,11
1531943811220072077,2100,1531943811213724382,NED,-0.419999986887,-251.802444458,-30.981174469,13
1531943811236065377,2101,1531943811235294251,NED,-0.419999986887,-251.802444458,-30.981174469,13
1531943811299503960,2102,1531943811298570084,NED,-0.629999995232,-256.995788574,-117.338409424,14
1531943811340002899,2103,1531943811338884225,NED,-0.629999995232,-256.995788574,-117.338409424,14
1531943811430024183,2104,1531943811428538985,NED,-0.870000004768,-164.871795654,-119.18120575,16
1531943811551506249,2105,1531943811550546901,NED,-1.13999998569,-181.032180786,-120.99017334,18
1531943811622489471,2106,1531943811620335706,NED,-1.44999992847,-201.059906006,-122.78225708,20
1531943811662018502,2107,1531943811660869877,NED,-1.44999992847,-201.059906006,-122.78225708,20
1531943811744558057,2108,1531943811743160923,NED,-1.77999997139,-219.393539429,-124.548957825,22
1531943811819226225,2109,1531943811813725399,NED,-2.13999986649,-221.097946167,-126.264961243,23
1531943811848432348,2110,1531943811847830980,NED,-2.51999998093,-200.628479004,-127.989402771,25
1531943811905605666,2111,1531943811901490263,NED,-2.51999998093,-200.628479004,-127.989402771,25
1531943811971125566,2112,1531943811970101004,NED,-2.51999998093,-200.628479004,-127.989402771,25
1531943812018802303,2113,1531943812013633152,NED,-2.88999986649,-158.921234131,-129.671585083,27
1531943812054384601,2114,1531943812052591600,NED,-2.88999986649,-158.921234131,-129.671585083,27
1531943812093828451,2115,1531943812090632844,NED,-3.25,-145.747558594,-131.370666504,28
1531943812169643454,2116,1531943812168339118,NED,-3.25,-145.747558594,-131.370666504,28
1531943812197757368,2117,1531943812196879555,NED,-3.58999991417,-134.430511475,-133.044387817,30
1531943812278230167,2118,1531943812277602559,NED,-3.89999985695,-106.689453125,-134.71812439,32
1531943812314283660,2119,1531943812313051484,NED,-3.89999985695,-106.689453125,-134.71812439,32
1531943812375814909,2120,1531943812373850934,NED,-3.89999985695,-106.689453125,-134.71812439,32
1531943812428065123,2121,1531943812415917118,NED,-4.17000007629,-63.4466171265,-136.374954224,33
1531943812462718954,2122,1531943812460853250,NED,-4.17000007629,-63.4466171265,-136.374954224,33
1531943812493086535,2123,1531943812492170067,NED,-4.38999986649,-27.6161193848,-138.048660278,35
1531943812560229712,2124,1531943812556700189,NED,-4.38999986649,-27.6161193848,-138.048660278,35
1531943812624746651,2125,1531943812615043958,NED,-4.55999994278,-11.4519119263,-139.663223267,37
1531943812650013369,2126,1531943812649293570,NED,-4.55999994278,-11.4519119263,-139.663223267,37
1531943812687973110,2127,1531943812686971811,NED,-4.71999979019,-14.500617981,-141.320053101,38
1531943812778244312,2128,1531943812776913801,NED,-4.85999965668,-19.7313308716,-142.926147461,40
1531943812826970380,2129,1531943812825948217,NED,-4.85999965668,-19.7313308716,-142.926147461,40
1531943812841516563,2130,1531943812839398638,NED,-4.85999965668,-19.7313308716,-142.926147461,40
1531943812893885400,2131,1531943812892800774,NED,-4.98999977112,-33.81690979,-144.540710449,42
1531943812940073708,2132,1531943812939042809,NED,-4.98999977112,-33.81690979,-144.540710449,42
1531943813012109239,2133,1531943812996225121,NED,-5.10999965668,-50.8991241455,-146.104507446,43
1531943813060219476,2134,1531943813059218497,NED,-5.21999979019,-82.2685241699,-147.634536743,45
1531943813098923176,2135,1531943813098189681,NED,-5.21999979019,-82.2685241699,-147.634536743,45
1531943813140755381,2136,1531943813140339322,NED,-5.21999979019,-82.2685241699,-147.634536743,45
1531943813208699190,2137,1531943813205926585,NED,-5.33999967575,-119.450759888,-149.113845825,46
1531943813313844222,2138,1531943813312519567,NED,-5.46000003815,-152.542114258,-150.525482178,48
1531943813380323825,2139,1531943813374699161,NED,-5.58999967575,-190.183639526,-151.90335083,49
1531943813421052684,2140,1531943813412743702,NED,-5.58999967575,-190.183639526,-151.90335083,49
1531943813445906192,2141,1531943813441519400,NED,-5.58999967575,-190.183639526,-151.90335083,49
1531943813511777451,2142,1531943813511108980,NED,-5.71999979019,-196.843902588,-153.196685791,51
1531943813547715587,2143,1531943813547036172,NED,-5.71999979019,-196.843902588,-153.196685791,51
1531943813593994775,2144,1531943813592541929,NED,-5.85999965668,-202.487564087,-154.430801392,52
1531943813667704591,2145,1531943813666728571,NED,-5.85999965668,-202.487564087,-154.430801392,52
1531943813698600646,2146,1531943813697827408,NED,-6.00999975204,-211.733428955,-155.563537598,53
1531943813818248822,2147,1531943813813477331,NED,-6.19000005722,-208.354187012,-156.569351196,55
1531943813868440089,2148,1531943813867940831,NED,-6.19000005722,-208.354187012,-156.569351196,55
1531943813941043678,2149,1531943813937009426,NED,-6.36999988556,-200.578308105,-157.490753174,56
1531943813953211396,2150,1531943813952383662,NED,-6.36999988556,-200.578308105,-157.490753174,56
1531943813999718453,2151,1531943813998308839,NED,-6.5499997139,-206.58493042,-158.285339355,57
1531943814038098606,2152,1531943814037077243,NED,-6.5499997139,-206.58493042,-158.285339355,57
1531943814115893268,2153,1531943814112748508,NED,-6.75,-219.956588745,-158.9868927,58
1531943814144528329,2154,1531943814143704244,NED,-6.75,-219.956588745,-158.9868927,58
1531943814215979391,2155,1531943814214573169,NED,-6.94999980927,-232.099533081,-159.553253174,59
1531943814239558516,2156,1531943814238759166,NED,-6.94999980927,-232.099533081,-159.553253174,59
1531943814294170976,2157,1531943814292974287,NED,-7.14999961853,-249.521636963,-160.001174927,60
1531943814344385731,2158,1531943814343194227,NED,-7.14999961853,-249.521636963,-160.001174927,60
1531943814393719666,2159,1531943814392717055,NED,-7.36999988556,-280.801574707,-160.313934326,61
1531943814464096694,2160,1531943814462561065,NED,-7.36999988556,-280.801574707,-160.313934326,61
1531943814493946619,2161,1531943814493285924,NED,-7.59999990463,-301.572601318,-160.491378784,62
1531943814558206829,2162,1531943814556584513,NED,-7.59999990463,-301.572601318,-160.491378784,62
1531943814596405096,2163,1531943814594959451,NED,-7.85999965668,-326.696411133,-160.508285522,63
1531943814641865960,2164,1531943814638063320,NED,-7.85999965668,-326.696411133,-160.508285522,63
1531943814716336888,2165,1531943814715224454,NED,-8.13000011444,-353.599914551,-160.364578247,63
1531943814758774974,2166,1531943814758351907,NED,-8.13000011444,-353.599914551,-160.364578247,63
1531943814818122574,2167,1531943814814172768,NED,-8.43999958038,-371.937927246,-160.051712036,64
1531943814850193879,2168,1531943814847490617,NED,-8.43999958038,-371.937927246,-160.051712036,64
1531943814896448461,2169,1531943814894206793,NED,-8.76000022888,-390.137084961,-159.60369873,64
1531943814957686788,2170,1531943814956880623,NED,-8.76000022888,-390.137084961,-159.60369873,64
1531943814991229563,2171,1531943814990407046,NED,-9.09000015259,-397.036376953,-159.037200928,65
1531943815051903291,2172,1531943815044649143,NED,-9.09000015259,-397.036376953,-159.037200928,65
1531943815099307076,2173,1531943815097400732,NED,-9.4299993515,-400.481414795,-158.344055176,65
1531943815145171135,2174,1531943815141234897,NED,-9.4299993515,-400.481414795,-158.344055176,65
1531943815192638439,2175,1531943815191921360,NED,-9.78999996185,-401.108947754,-157.549453735,65
1531943815257129079,2176,1531943815256531646,NED,-9.78999996185,-401.108947754,-157.549453735,65
1531943815311715844,2177,1531943815310716945,NED,-10.1899995804,-400.13293457,-156.62802124,65
1531943815362407203,2178,1531943815361483247,NED,-10.1899995804,-400.13293457,-156.62802124,65
1531943815391406836,2179,1531943815390641598,NED,-10.6399993896,-395.612335205,-155.605194092,65
1531943815441192734,2180,1531943815440021677,NED,-10.6399993896,-395.612335205,-155.605194092,65
1531943815490279569,2181,1531943815489068129,NED,-11.1199998856,-384.993743896,-154.506149292,65
1531943815545255418,2182,1531943815540565205,NED,-11.1199998856,-384.993743896,-154.506149292,65
1531943815630755456,2183,1531943815625947325,NED,-11.6499996185,-350.424560547,-153.339614868,65
1531943815650379944,2184,1531943815649442036,NED,-11.6499996185,-350.424560547,-153.339614868,65
1531943815696482145,2185,1531943815694288988,NED,-12.2100000381,-302.91595459,-152.130828857,65
1531943815751735366,2186,1531943815751203564,NED,-12.2100000381,-302.91595459,-152.130828857,65
1531943815839005589,2187,1531943815837984098,NED,-12.7899999619,-262.13168335,-150.888198853,65
1531943815892584144,2188,1531943815890800582,NED,-13.3999996185,-226.789855957,-149.637145996,65
1531943815969282181,2189,1531943815968714412,NED,-13.3999996185,-226.789855957,-149.637145996,65
1531943815997315427,2190,1531943815996624075,NED,-14.0099992752,-191.063308716,-148.377502441,64
1531943816044944425,2191,1531943816037032557,NED,-14.0099992752,-191.063308716,-148.377502441,64
1531943816098053131,2192,1531943816097286581,NED,-14.6300001144,-167.826660156,-147.143356323,64
1531943816152504124,2193,1531943816148757899,NED,-14.6300001144,-167.826660156,-147.143356323,64
1531943816201341363,2194,1531943816199658633,NED,-15.2699995041,-163.316162109,-145.892303467,64
1531943816242843368,2195,1531943816241275419,NED,-15.2699995041,-163.316162109,-145.892303467,64
1531943816342788250,2196,1531943816341641705,NED,-15.9099998474,-142.534255981,-144.717285156,64
1531943816414325843,2197,1531943816411305305,NED,-16.5599994659,-105.890274048,-143.525405884,64
1531943816437417392,2198,1531943816435803908,NED,-16.5599994659,-105.890274048,-143.525405884,64
1531943816495799439,2199,1531943816495069336,NED,-17.1999988556,-69.8143005371,-142.375732422,64
1531943816551733293,2200,1531943816547853342,NED,-17.1999988556,-69.8143005371,-142.375732422,64
1531943816598253698,2201,1531943816597710697,NED,-17.8099994659,-37.664604187,-141.251480103,64
1531943816642397013,2202,1531943816637683536,NED,-17.8099994659,-37.664604187,-141.251480103,64
1531943816692449917,2203,1531943816691492137,NED,-18.3799991608,7.67164230347,-140.144119263,64
1531943816750464417,2204,1531943816749487181,NED,-18.3799991608,7.67164230347,-140.144119263,64
1531943816775035179,2205,1531943816772905542,NED,-18.8899993896,55.5884361267,-139.036743164,64
1531943816812345844,2206,1531943816811399168,NED,-18.8899993896,55.5884361267,-139.036743164,64
1531943816857437979,2207,1531943816856575301,NED,-18.8899993896,55.5884361267,-139.036743164,64
1531943816896394735,2208,1531943816895661400,NED,-19.3500003815,108.275222778,-137.963180542,64
1531943816984336313,2209,1531943816982868619,NED,-19.75,122.467132568,-136.91494751,64
1531943817013331947,2210,1531943817012106779,NED,-19.75,122.467132568,-136.91494751,64
1531943817049113449,2211,1531943817047481725,NED,-19.75,122.467132568,-136.91494751,64
