%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1531943810869852998,2093,1531943810869520906,NED,44.9500007629,-50.9912910461
1531943810908512215,2094,1531943810907652578,NED,44.9500007629,-50.9912910461
1531943810935194658,2095,1531943810934858598,NED,44.9399986267,-50.9912910461
1531943810994324206,2096,1531943810993363514,NED,44.9399986267,-22.4634304047
1531943811027289129,2097,1531943811026712017,NED,44.9399986267,-22.4634304047
1531943811089499407,2098,1531943811088525532,NED,44.8499984741,-22.4634304047
1531943811146321242,2099,1531943811145090666,NED,42.5200004578,-22.4634304047
1531943811217081300,2100,1531943811213735646,NED,41.2999992371,-22.4634304047
1531943811235919363,2101,1531943811235304171,NED,41.2900009155,-22.4634304047
1531943811299280507,2102,1531943811298580196,NED,-44.7700004578,-22.4634304047
1531943811339487898,2103,1531943811338895489,NED,-44.7299995422,-22.4634304047
1531943811429323391,2104,1531943811428548233,NED,-44.6100006104,12.6104841232
1531943811551316907,2105,1531943811550558037,NED,-44.4799995422,12.6104841232
1531943811622042757,2106,1531943811620346394,NED,-44.4500007629,12.6104841232
1531943811661894568,2107,1531943811660881973,NED,-44.4599990845,12.6104841232
1531943811744421355,2108,1531943811743170555,NED,-44.4899978638,12.6104841232
1531943811816952270,2109,1531943811813736695,NED,-44.5200004578,-11.3837566376
1531943811848067393,2110,1531943811847838276,NED,-44.5299987793,-11.3837566376
1531943811902173102,2111,1531943811901500759,NED,-44.5399971008,-11.3837566376
1531943811970794595,2112,1531943811970112011,NED,-44.5499992371,-11.3837566376
1531943812014207737,2113,1531943812013645920,NED,-44.5399971008,-11.3837566376
1531943812054131517,2114,1531943812052601136,NED,-44.5399971008,-26.8369846344
1531943812093730148,2115,1531943812090643724,NED,-44.5499992371,-26.8369846344
1531943812169109253,2116,1531943812168350958,NED,-44.5699996948,-26.8369846344
1531943812197297918,2117,1531943812196889955,NED,-44.5799980164,-26.8369846344
1531943812278116665,2118,1531943812277614143,NED,-44.6100006104,-26.8369846344
1531943812313745011,2119,1531943812313065564,NED,-44.6199989319,-26.8369846344
1531943812375264676,2120,1531943812373862038,NED,-44.6299972534,-26.8369846344
1531943812427888422,2121,1531943812415957630,NED,-44.6399993896,-35.9716186523
1531943812461532057,2122,1531943812460948065,NED,-44.6499977112,-35.9716186523
1531943812492930505,2123,1531943812492180307,NED,-44.6499977112,-35.9716186523
1531943812558296585,2124,1531943812556712061,NED,-44.6499977112,-35.9716186523
1531943812620911468,2125,1531943812615057142,NED,-44.6399993896,-35.9716186523
1531943812649740701,2126,1531943812649302690,NED,-44.6399993896,-35.9716186523
1531943812687301886,2127,1531943812686981699,NED,-44.6299972534,-35.9716186523
1531943812777909821,2128,1531943812776927433,NED,-44.6199989319,-35.9716186523
1531943812826858797,2129,1531943812825957177,NED,-44.6199989319,-44.0311164856
