%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.des_x,field.des_y,field.des_z,field.meas_x,field.meas_y,field.meas_z
1531943810861418098,2056,1531943810860063395,NED,5,0.0,0.0,0.0,-0.541918158531,19.5083808899,0.0922092348337
1531943810911778958,2057,1531943810910377632,NED,5,0.0,0.0,0.0,-0.2640645504,19.4825019836,-0.00670956075191
1531943810936678383,2058,1531943810936383635,NED,5,0.0,0.0,0.0,-0.00183778582141,19.4533367157,-0.154980897903
1531943810997375943,2059,1531943810996235413,NED,5,0.0,0.0,0.0,0.287958741188,19.4102115631,-0.444431036711
1531943811056877552,2060,1531943811056331991,NED,5,0.0,0.0,0.0,0.503621160984,19.3523750305,-0.739515006542
1531943811093205824,2061,1531943811091953680,NED,5,0.0,0.0,0.0,0.592965960503,19.2947731018,-0.90782982111
1531943811148386880,2062,1531943811147582954,NED,5,0.0,0.0,0.0,0.650941610336,19.2453575134,-1.09418237209
1531943811220563015,2063,1531943811219042843,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.624664783478,19.1237545013,-1.43765950203
1531943811237942185,2064,1531943811237380305,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.614077448845,19.0924320221,-1.49041223526
1531943811300934022,2065,1531943811300412332,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.519733786583,18.9831924438,-1.65944707394
1531943811342049081,2066,1531943811340956871,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.423013180494,18.9081287384,-1.77984261513
1531943811432358425,2067,1531943811430431121,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.134112998843,18.6986713409,-2.0672018528
1531943811554067336,2068,1531943811553456656,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.0567498654127,18.4194946289,-2.43074703217
1531943811623865005,2069,1531943811623229269,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.107041597366,18.1669864655,-2.68267726898
1531943811665096895,2070,1531943811664452519,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,-0.0922260433435,18.0525093079,-2.76522421837
1531943811748999697,2071,1531943811746171701,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.0293931700289,17.7937259674,-2.98441433907
1531943811824503309,2072,1531943811823905397,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.160167992115,17.614654541,-3.06430220604
1531943811877495369,2073,1531943811876731859,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.399682939053,17.3863525391,-3.12066054344
1531943811910537028,2074,1531943811909959275,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.520256996155,17.2887077332,-3.11388421059
1531943811974135928,2075,1531943811972655371,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.637219786644,17.2137508392,-3.0983300209
1531943812019020540,2076,1531943812017220147,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,0.843904435635,17.096162796,-3.07292604446
1531943812071565919,2077,1531943812068814626,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.02809095383,17.0087623596,-3.07845854759
1531943812093977473,2078,1531943812093323434,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.20769274235,16.9278392792,-3.06063294411
1531943812171448775,2079,1531943812170933485,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.48414409161,16.8426952362,-2.98650813103
1531943812230520439,2080,1531943812230003677,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,1.83861744404,16.7726669312,-2.83498907089
1531943812320421598,2081,1531943812317257830,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.16132211685,16.7409877777,-2.61174201965
1531943812378505978,2082,1531943812376420117,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.33887767792,16.7139987946,-2.49127268791
1531943812428161986,2083,1531943812417918885,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.6168949604,16.6350097656,-2.30276465416
1531943812466249021,2084,1531943812464624370,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.79250097275,16.5713100433,-2.15091347694
1531943812496335166,2085,1531943812493994268,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,2.96962165833,16.504114151,-2.04768466949
1531943812560929256,2086,1531943812559385371,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,3.31223273277,16.3674221039,-1.89837086201
1531943812626847328,2087,1531943812618945893,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,3.70033025742,16.2134799957,-1.81975495815
1531943812652310268,2088,1531943812651823426,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,3.84707665443,16.1548271179,-1.79434132576
1531943812713692622,2089,1531943812713097238,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,4.38798236847,15.9208278656,-1.67238867283
1531943812781846827,2090,1531943812780751321,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,4.81911468506,15.7751913071,-1.57740080357
1531943812832737059,2091,1531943812832051403,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,5.13972616196,15.6837310791,-1.52837097645
1531943812843194781,2092,1531943812842239786,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,5.29278230667,15.6333351135,-1.51708090305
1531943812898031683,2093,1531943812895867327,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,5.82594251633,15.4541988373,-1.49092531204
1531943812945533254,2094,1531943812942876040,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,6.19468927383,15.3120174408,-1.50037550926
1531943813020014003,2095,1531943812999950801,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,6.78923749924,15.1144742966,-1.51538038254
1531943813082272220,2096,1531943813081677923,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,7.59845638275,14.749001503,-1.56053674221
1531943813105411990,2097,1531943813105055962,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,7.80958652496,14.6478805542,-1.58854222298
1531943813143666832,2098,1531943813142861018,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,8.23575019836,14.4276647568,-1.60748541355
1531943813235050375,2099,1531943813234710763,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,9.30880737305,13.8326482773,-1.68813872337
1531943813369286878,2100,1531943813368580391,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,10.7011871338,12.9134950638,-1.85753536224
1531943813425093721,2101,1531943813418120625,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.319106102,12.4562587738,-1.8886743784
1531943813446065934,2102,1531943813443957161,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,11.5264215469,12.2728223801,-1.89733850956
1531943813514243308,2103,1531943813512886077,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.3156328201,11.6035251617,-1.95664179325
1531943813567019566,2104,1531943813566405974,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,12.7549505234,11.2196788788,-2.02988243103
1531943813598632860,2105,1531943813598247105,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.1695137024,10.7869777679,-2.1248061657
1531943813675809608,2106,1531943813671246626,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,13.7556915283,10.1629037857,-2.228307724
1531943813702223832,2107,1531943813701012552,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.0968160629,9.73349380493,-2.27782940865
1531943813826932552,2108,1531943813825856790,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,14.9029121399,8.72535800934,-2.31027197838
1531943813870954809,2109,1531943813870362624,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,15.3436412811,8.07820129395,-2.34061717987
1531943813941176477,2110,1531943813938621245,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,15.7592477798,7.43210268021,-2.34857940674
1531943813955394376,2111,1531943813954252055,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,16.0058174133,6.98219013214,-2.34442591667
1531943814005686185,2112,1531943814001047204,NED,5,16.0,-3.5527136788e-15,1.95943496414e-15,16.2708778381,6.50434446335,-2.35845780373
