%time,field.header.seq,field.header.stamp,field.header.frame_id,field.commanded,field.measured
1531943810870055523,2093,1531943810869525834,NED,-83.0,88.8500442505
1531943810909041649,2094,1531943810907658274,NED,-83.0,88.8500442505
1531943810935530878,2095,1531943810934862054,NED,-83.0,88.8500442505
1531943810994441644,2096,1531943810993370426,NED,-84.0,82.6015853882
1531943811027868770,2097,1531943811026716624,NED,-84.0,82.6015853882
1531943811089927082,2098,1531943811088531548,NED,-86.0,82.6015853882
1531943811146368634,2099,1531943811145095786,NED,-86.0,82.6015853882
1531943811219781425,2100,1531943811213741022,NED,-86.0,82.6015853882
1531943811235971619,2101,1531943811235308363,NED,-86.0,82.6015853882
1531943811299401561,2102,1531943811298584292,NED,-44.0,82.6015853882
1531943811339626968,2103,1531943811338900513,NED,-44.0,82.6015853882
1531943811429968407,2104,1531943811428552745,NED,-44.0,78.1361999512
1531943811551479849,2105,1531943811550563989,NED,-44.0,78.1361999512
1531943811622472831,2106,1531943811620350906,NED,-44.0,78.1361999512
1531943811661921416,2107,1531943811660887637,NED,-44.0,78.1361999512
1531943811744533578,2108,1531943811743175419,NED,-44.0,78.1361999512
1531943811817058060,2109,1531943811813743127,NED,-44.0,76.3517608643
1531943811848391068,2110,1531943811847841571,NED,-44.0,76.3517608643
1531943811905540515,2111,1531943811901506551,NED,-44.0,76.3517608643
1531943811971096351,2112,1531943811970117931,NED,-44.0,76.3517608643
1531943812018586049,2113,1531943812013652320,NED,-44.0,76.3517608643
1531943812054294459,2114,1531943812052605456,NED,-44.0,77.3887176514
1531943812093806788,2115,1531943812090648140,NED,-44.0,77.3887176514
1531943812169529471,2116,1531943812168356430,NED,-44.0,77.3887176514
1531943812197732216,2117,1531943812196895171,NED,-44.0,77.3887176514
1531943812278159896,2118,1531943812277619487,NED,-44.0,77.3887176514
1531943812313930353,2119,1531943812313072732,NED,-44.0,77.3887176514
1531943812375724318,2120,1531943812373867701,NED,-44.0,77.3887176514
1531943812427995588,2121,1531943812415965309,NED,-44.0,74.4174423218
1531943812462683595,2122,1531943812460952673,NED,-44.0,74.4174423218
1531943812493068776,2123,1531943812492184275,NED,-44.0,74.4174423218
1531943812560045235,2124,1531943812556717437,NED,-44.0,74.4174423218
