%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1531943810915695931,754,1531943810915273633,,0,1626,1532,1548,1512,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943811287676975,755,1531943811284625846,,0,1515,1552,1548,1512,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943811559413508,756,1531943811559131783,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943811827905058,757,1531943811827293386,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943812188201330,758,1531943812187236670,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943812484494837,759,1531943812481080896,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943812878680026,760,1531943812878382877,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943813239793195,761,1531943813239505262,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943813576791762,762,1531943813576579444,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943813945890945,763,1531943813945584293,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943814176137816,764,1531943814175876060,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943814480525190,765,1531943814479496723,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943814883756878,766,1531943814882332576,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943815133954221,767,1531943815133454676,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943815473738755,768,1531943815473528709,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943815793592052,769,1531943815793255736,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943816081935831,770,1531943816080999778,,0,1515,1552,1548,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943816358337302,771,1531943816358047770,,0,1515,1552,1550,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943816676592165,772,1531943816676369992,,0,1515,1552,1550,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943817001442561,773,1531943817001131717,,0,1515,1552,1550,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943817436345211,774,1531943817431246107,,0,1515,1552,1550,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943817695074976,775,1531943817694798148,,0,1515,1552,1550,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943818079570552,776,1531943818079252924,,0,1515,1552,1550,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943818410087325,777,1531943818409839040,,0,1515,1552,1550,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
1531943818867383337,778,1531943818863422491,,0,1515,1552,1550,1511,1943,2036,991,2036,1514,1514,1514,1514,1514,1514,1514,1514
