%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1531943810912936927,752,1531943810912604803,,1500,1512,1564,1650,1801,1801,1500,2036
1531943811283708513,753,1531943811280038192,,1500,1528,1332,1569,1639,1639,1500,2036
1531943811556706310,754,1531943811556354923,,1500,1534,1356,1408,1316,1316,1500,2036
1531943811827262698,755,1531943811826922030,,1500,1531,1436,1447,1394,1394,1500,2036
1531943812179787261,756,1531943812177912469,,1500,1518,1588,1477,1453,1453,1500,2036
1531943812479001883,757,1531943812478783230,,1500,1481,1468,1488,1475,1475,1500,2036
1531943812876124378,758,1531943812875709503,,1500,1458,1644,1503,1507,1507,1500,2036
1531943813237717349,759,1531943813236672242,,1500,1442,1644,1512,1524,1524,1500,2036
1531943813573987189,760,1531943813573783480,,1500,1439,1644,1517,1535,1535,1500,2036
1531943813943674205,761,1531943813943311394,,1500,1430,1636,1521,1543,1543,1500,2036
1531943814173919572,762,1531943814173482330,,1500,1426,1636,1524,1549,1549,1500,2036
1531943814480511398,763,1531943814478891514,,1500,1436,1628,1523,1546,1546,1500,2036
1531943814883719342,764,1531943814881892645,,1500,1443,1572,1530,1561,1561,1500,2036
1531943815126917894,765,1531943815126563627,,1500,1456,1476,1546,1593,1593,1500,2036
1531943815458602562,766,1531943815456749849,,1500,1485,1404,1570,1641,1641,1500,2036
1531943815775143549,767,1531943815774694243,,1500,1517,1356,1579,1659,1659,1500,2036
1531943816081908919,768,1531943816080750726,,1500,1553,1348,1572,1644,1644,1500,2036
1531943816354154859,769,1531943816353628689,,1500,1578,1324,1549,1599,1599,1500,2036
1531943816674610302,770,1531943816674286338,,1500,1582,1300,1524,1549,1549,1500,2036
1531943816997851182,771,1531943816997547346,,1500,1593,1300,1511,1523,1523,1500,2036
1531943817428130627,772,1531943817426763924,,1500,1583,1284,1490,1480,1480,1500,2036
1531943817685950611,773,1531943817685678967,,1500,1570,1276,1487,1474,1474,1500,2036
1531943818077121622,774,1531943818076870234,,1500,1550,1276,1495,1490,1490,1500,2036
1531943818396771685,775,1531943818396463848,,1500,1524,1260,1502,1504,1504,1500,2036
1531943818867424937,776,1531943818863073120,,1500,1506,1252,1501,1502,1502,1500,2036
1531943819189318016,777,1531943819189031587,,1500,1494,1252,1504,1508,1508,1500,2036
1531943819534132667,778,1531943819533663777,,1500,1487,1236,1511,1522,1522,1500,2036
1531943819887846822,779,1531943819887611881,,1500,1491,1236,1516,1532,1532,1500,2036
1531943820273190477,780,1531943820272891824,,1500,1499,1244,1515,1531,1531,1500,2036
1531943820554496845,781,1531943820554258672,,1500,1507,1260,1521,1543,1543,1500,2036
1531943820882841536,782,1531943820882609891,,1500,1513,1276,1520,1540,1540,1500,2036
1531943821319128245,783,1531943821318766969,,1500,1520,1308,1527,1555,1555,1500,2036
1531943821623278239,784,1531943821623043170,,1500,1519,1300,1526,1552,1552,1500,2036
1531943821963663940,785,1531943821963281705,,1500,1521,1332,1524,1549,1549,1500,2036
1531943822223062819,786,1531943822222727015,,1500,1513,1364,1561,1622,1622,1500,2036
1531943822530306126,787,1531943822529946963,,1500,1492,1404,1537,1574,1574,1500,2036
1531943822966225078,788,1531943822965624957,,1500,1472,1444,1520,1540,1540,1500,2036
1531943823308204568,789,1531943823307314371,,1500,1451,1428,1519,1539,1539,1500,2036
1531943823670917562,790,1531943823670656573,,1500,1435,1420,1515,1531,1531,1500,2036
1531943824035378567,791,1531943824035059435,,1500,1432,1436,1510,1521,1521,1500,2036
1531943824317244988,792,1531943824316975071,,1500,1437,1444,1510,1521,1521,1500,2036
1531943824769379088,793,1531943824769072979,,1500,1426,1468,1496,1492,1492,1500,2036
1531943825150739158,794,1531943825149550820,,1500,1436,1452,1484,1468,1468,1500,2036
1531943825421312606,795,1531943825420686470,,1500,1446,1428,1476,1451,1451,1500,2036
1531943825739314651,796,1531943825737179126,,1500,1463,1396,1463,1426,1426,1500,2036
1531943826059161923,797,1531943826058623945,,1500,1486,1372,1454,1408,1408,1500,2036
1531943826397321711,798,1531943826397110002,,1500,1501,1380,1456,1412,1412,1500,2036
1531943826692817930,799,1531943826692373264,,1500,1519,1412,1465,1429,1429,1500,2036
1531943827013604334,800,1531943827013287441,,1500,1528,1420,1477,1454,1454,1500,2036
1531943827431784935,801,1531943827431535211,,1500,1545,1444,1488,1476,1476,1500,2036
1531943827753019885,802,1531943827752690961,,1500,1547,1452,1499,1497,1497,1500,2036
1531943828064662283,803,1531943828064206224,,1500,1549,1468,1508,1517,1517,1500,2036
1531943828408310179,804,1531943828407897769,,1500,1541,1468,1532,1565,1565,1500,2036
1531943828832359870,805,1531943828827779991,,1500,1538,1468,1532,1565,1565,1500,2036
1531943829174455215,806,1531943829174152403,,1500,1536,1476,1524,1550,1550,1500,2036
1531943829547137932,807,1531943829546942735,,1500,1523,1452,1519,1538,1538,1500,2036
1531943829871174527,808,1531943829870115116,,1500,1522,1444,1515,1530,1530,1500,2036
1531943830284935851,809,1531943830284450353,,1500,1515,1412,1510,1520,1520,1500,2036
1531943830585359176,810,1531943830585114507,,1500,1504,1388,1505,1510,1510,1500,2036
1531943830915869268,811,1531943830915584695,,1500,1509,1412,1496,1491,1491,1500,2036
1531943831225419525,812,1531943831224957963,,1500,1521,1436,1488,1475,1475,1500,2036
1531943831530215443,813,1531943831529363774,,1500,1535,1428,1498,1496,1496,1500,2036
1531943831877394747,814,1531943831876770274,,1500,1531,1412,1509,1518,1518,1500,2036
1531943832176320949,815,1531943832175320833,,1500,1529,1412,1506,1512,1512,1500,2036
1531943832431634279,816,1531943832431447370,,1500,1528,1420,1503,1506,1506,1500,2036
1531943832816481676,817,1531943832815860787,,1500,1531,1404,1500,1500,1500,1500,2036
1531943833167736814,818,1531943833167607760,,1500,1534,1388,1502,1504,1504,1500,2036
1531943833420168041,819,1531943833419594224,,1500,1528,1372,1499,1498,1498,1500,2036
1531943833822318147,820,1531943833822087334,,1500,1527,1380,1506,1513,1513,1500,2036
1531943834121183243,821,1531943834120002009,,1500,1522,1364,1512,1525,1525,1500,2036
1531943834463873217,822,1531943834463538533,,1500,1520,1356,1511,1522,1522,1500,2036
1531943834789312074,823,1531943834787799772,,1500,1521,1356,1495,1489,1489,1500,2036
1531943835015595049,824,1531943835015270413,,1500,1527,1380,1493,1485,1485,1500,2036
1531943835325908721,825,1531943835325393400,,1500,1528,1388,1495,1489,1489,1500,2036
1531943835617056771,826,1531943835616354955,,1500,1526,1388,1509,1519,1519,1500,2036
1531943835935039278,827,1531943835934052730,,1500,1538,1436,1489,1478,1478,1500,2036
1531943836306212314,828,1531943836305973309,,1500,1530,1468,1502,1504,1504,1500,2036
1531943836608827943,829,1531943836608099120,,1500,1519,1444,1499,1497,1497,1500,2036
1531943836954268685,830,1531943836953593621,,1500,1516,1428,1506,1512,1512,1500,2036
1531943837330158505,831,1531943837329921420,,1500,1515,1396,1514,1529,1529,1500,2036
1531943837725361917,832,1531943837724077228,,1500,1524,1380,1513,1526,1526,1500,2036
1531943838022306389,833,1531943838020200783,,1500,1527,1372,1514,1529,1529,1500,2036
1531943838373655683,834,1531943838372587984,,1500,1533,1388,1509,1519,1519,1500,2036
1531943838622447879,835,1531943838621870478,,1500,1539,1404,1505,1511,1511,1500,2036
1531943839048628399,836,1531943839048390417,,1500,1544,1420,1506,1513,1513,1500,2036
1531943839385750960,837,1531943839382905810,,1500,1539,1404,1506,1512,1512,1500,2036
1531943839754735089,838,1531943839754536019,,1500,1541,1388,1518,1537,1537,1500,2036
1531943840073890828,839,1531943840073547376,,1500,1530,1388,1524,1549,1549,1500,2036
1531943840434101247,840,1531943840433778979,,1500,1521,1396,1528,1556,1556,1500,2036
1531943840813039921,841,1531943840812429976,,1500,1525,1420,1526,1553,1553,1500,2036
1531943841139594620,842,1531943841139084354,,1500,1512,1404,1529,1558,1558,1500,2036
1531943841514054540,843,1531943841503145359,,1500,1493,1404,1523,1546,1546,1500,2036
1531943841760863640,844,1531943841760535772,,1500,1484,1412,1520,1540,1540,1500,2036
1531943842074023594,845,1531943842073723950,,1500,1477,1412,1511,1522,1522,1500,2036
1531943842374455674,846,1531943842373977951,,1500,1468,1380,1501,1503,1503,1500,2036
1531943842657465466,847,1531943842656982400,,1500,1453,1404,1507,1515,1515,1500,2036
1531943842901375503,848,1531943842900828181,,1500,1436,1396,1508,1516,1516,1500,2036
1531943843213057948,849,1531943843212150695,,1500,1434,1396,1505,1511,1511,1500,2036
1531943843670567899,850,1531943843670253215,,1500,1453,1380,1500,1500,1500,1500,2036
1531943843973195543,851,1531943843972886331,,1500,1454,1292,1487,1473,1473,1500,2036
1531943844326244543,852,1531943844325519080,,1500,1468,1340,1470,1440,1440,1500,2036
1531943844703433128,853,1531943844702733424,,1500,1488,1396,1450,1399,1399,1500,2036
1531943845022908962,854,1531943845021646193,,1500,1508,1380,1455,1410,1410,1500,2036
1531943845409982333,855,1531943845408260338,,1500,1520,1348,1468,1434,1434,1500,2036
1531943845669361290,856,1531943845668464949,,1500,1530,1356,1477,1454,1454,1500,2036
1531943846051631999,857,1531943846046848664,,1500,1538,1388,1488,1475,1475,1500,2036
1531943846453052152,858,1531943846452688605,,1500,1538,1420,1504,1508,1508,1500,2036
1531943846732698298,859,1531943846732346814,,1500,1542,1436,1516,1533,1533,1500,2036
1531943847098774010,860,1531943847098232320,,1500,1544,1428,1527,1554,1554,1500,2036
1531943847446298172,861,1531943847445802306,,1500,1542,1436,1529,1559,1559,1500,2036
1531943847677032360,862,1531943847676461487,,1500,1537,1436,1521,1543,1543,1500,2036
1531943848090572796,863,1531943848090261056,,1500,1525,1452,1521,1543,1543,1500,2036
1531943848368282304,864,1531943848367979524,,1500,1525,1452,1516,1534,1534,1500,2036
1531943848697247781,865,1531943848696943624,,1500,1521,1436,1513,1528,1528,1500,2036
1531943849008071008,866,1531943849005893434,,1500,1515,1420,1506,1513,1513,1500,2036
1531943849372884292,867,1531943849372509672,,1500,1515,1412,1504,1509,1509,1500,2036
1531943849809816946,868,1531943849809347448,,1500,1517,1380,1494,1487,1487,1500,2036
1531943850149556066,869,1531943850149281541,,1500,1519,1372,1496,1492,1492,1500,2036
1531943850550051272,870,1531943850549674733,,1500,1524,1388,1497,1494,1494,1500,2036
1531943850878273380,871,1531943850877892361,,1500,1524,1404,1498,1495,1495,1500,2036
1531943851154900292,872,1531943851154707847,,1500,1526,1412,1503,1506,1506,1500,2036
1531943851586688065,873,1531943851585022869,,1500,1523,1388,1513,1526,1526,1500,2036
1531943851806526177,874,1531943851806256228,,1500,1529,1396,1520,1541,1541,1500,2036
1531943852106304053,875,1531943852106113815,,1500,1535,1404,1533,1566,1566,1500,2036
1531943852462942320,876,1531943852462584948,,1500,1538,1404,1526,1552,1552,1500,2036
1531943852844629412,877,1531943852844083435,,1500,1537,1404,1533,1566,1566,1500,2036
1531943853168954142,878,1531943853168055305,,1500,1526,1396,1535,1571,1571,1500,2036
1531943853405702465,879,1531943853404284913,,1500,1517,1420,1529,1559,1559,1500,2036
1531943853753117551,880,1531943853752872210,,1500,1503,1460,1519,1538,1538,1500,2036
1531943853983388733,881,1531943853982899427,,1500,1498,1452,1517,1534,1534,1500,2036
1531943854320687369,882,1531943854320279406,,1500,1483,1436,1515,1531,1531,1500,2036
1531943854564499582,883,1531943854562828625,,1500,1474,1412,1514,1528,1528,1500,2036
1531943854892303098,884,1531943854891457827,,1500,1477,1412,1515,1530,1530,1500,2036
1531943855223171541,885,1531943855221870981,,1500,1470,1372,1505,1510,1510,1500,2036
1531943855455842129,886,1531943855455500373,,1500,1471,1348,1505,1511,1511,1500,2036
1531943855768086601,887,1531943855767817996,,1500,1469,1340,1499,1497,1497,1500,2036
