%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.latitude,field.longitude,field.altitude,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
1531943810865211553,2056,1531943810863209339,,5,65528,40.5914654,-79.89959,380.350006104,0.0,0.0,0.0,19.5083808899,-0.541918158531,-0.0922092348337,-15.0,-17.666934967
1531943810912319527,2057,1531943810910726171,,5,65528,40.5914654,-79.89959,380.350006104,0.0,0.0,0.0,19.4825019836,-0.2640645504,0.00670956075192,-15.0,-17.3725376129
1531943810937148169,2058,1531943810936581328,,5,65528,40.5914654,-79.89959,380.350006104,0.0,0.0,0.0,19.4533367157,-0.00183778582141,0.154980897903,-15.0,-17.3725376129
1531943810997412646,2059,1531943810996560529,,5,65528,40.5914654,-79.89959,380.350006104,0.0,0.0,0.0,19.4102115631,0.287958741188,0.444431036711,-15.0,-17.3264045715
1531943811057063853,2060,1531943811056638291,,5,65528,40.5914654,-79.89959,380.350006104,0.0,0.0,0.0,19.3523750305,0.503621160984,0.739515006542,-15.0,-17.3264045715
1531943811093487836,2061,1531943811092444746,,5,65528,40.5914654,-79.89959,380.350006104,0.0,0.0,0.0,19.2947731018,0.592965960503,0.90782982111,-15.0,-17.3904266357
1531943811148692892,2062,1531943811147844167,,5,65528,40.5914654,-79.89959,380.350006104,0.0,0.0,0.0,19.2453575134,0.650941610336,1.09418237209,-15.0,-17.3904266357
1531943811220558119,2063,1531943811219276440,,5,65528,40.5914654,-79.89959,380.350006104,3.94430452611e-31,16.0,-1.95943496414e-15,19.1237545013,0.624664783478,1.43765950203,-15.0,-17.5180244446
1531943811237951977,2064,1531943811237588270,,5,65528,40.5914654,-79.89959,380.350006104,3.94430452611e-31,16.0,-1.95943496414e-15,19.0924320221,0.614077448845,1.49041223526,-15.0,-17.5180244446
1531943811300957797,2065,1531943811300642953,,5,65528,40.5914654,-79.89959,380.350006104,3.94430452611e-31,16.0,-1.95943496414e-15,18.9831924438,0.519733786583,1.65944707394,-16.0,-17.5699577332
1531943811342113592,2066,1531943811341220356,,5,65528,40.5914654,-79.89959,380.350006104,3.94430452611e-31,16.0,-1.95943496414e-15,18.9081287384,0.423013180494,1.77984261513,-16.0,-17.5699577332
1531943811434732794,2067,1531943811430648943,,5,65528,40.5914654,-79.89959,380.350006104,3.94430452611e-31,16.0,-1.95943496414e-15,18.6986713409,0.134112998843,2.0672018528,-16.0,-17.6487178802
1531943811555907600,2068,1531943811553909834,,5,65528,40.5914654,-79.89959,380.350006104,3.94430452611e-31,16.0,-1.95943496414e-15,18.4194946289,-0.0567498654127,2.43074703217,-16.0,-17.8103218079
1531943811626122352,2069,1531943811625151421,,5,65528,40.5914654,-79.89959,380.350006104,3.94430452611e-31,16.0,-1.95943496414e-15,18.1669864655,-0.107041597366,2.68267726898,-16.0,-18.0105991364
1531943811665228285,2070,1531943811664758403,,5,65528,40.5914654,-79.89959,380.350006104,3.94430452611e-31,16.0,-1.95943496414e-15,18.0525093079,-0.0922260433435,2.76522421837,-16.0,-18.0105991364
1531943811749064304,2071,1531943811746410514,,5,65528,40.5914654,-79.89959,380.350006104,3.94430452611e-31,16.0,-1.95943496414e-15,17.7937259674,0.0293931700289,2.98441433907,-16.0,-18.1939353943
