%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1531943811076450902,258,1531943811073639034,,1,1,1,GUIDED,4
1531943812075160369,259,1531943812074762710,,1,1,1,GUIDED,4
1531943813090811343,260,1531943813089687933,,1,1,1,GUIDED,4
1531943814057517976,261,1531943814052431577,,1,1,1,GUIDED,4
1531943815076833760,262,1531943815076494276,,1,1,1,GUIDED,4
1531943816081947926,263,1531943816081182624,,1,1,1,GUIDED,4
1531943817063755344,264,1531943817062895771,,1,1,1,GUIDED,4
1531943818081330849,265,1531943818080632426,,1,1,1,GUIDED,4
1531943819107994108,266,1531943819107168518,,1,1,1,GUIDED,4
1531943820087136357,267,1531943820086901512,,1,1,1,GUIDED,4
1531943821065439605,268,1531943821065069209,,1,1,1,GUIDED,4
1531943822075703471,269,1531943822073849286,,1,1,1,GUIDED,4
1531943823073997817,270,1531943823073307041,,1,1,1,GUIDED,4
1531943824076885187,271,1531943824074357155,,1,1,1,GUIDED,4
1531943825056493605,272,1531943825056065642,,1,1,1,GUIDED,4
1531943826077128901,273,1531943826076786761,,1,1,1,GUIDED,4
1531943827073541290,274,1531943827070504720,,1,1,1,GUIDED,4
1531943828074125462,275,1531943828073459614,,1,1,1,GUIDED,4
1531943829073232139,276,1531943829072737617,,1,1,1,GUIDED,4
1531943830115492936,277,1531943830114690098,,1,1,1,GUIDED,4
1531943831136032107,278,1531943831135125078,,1,1,1,GUIDED,4
1531943832077257711,279,1531943832076621527,,1,1,1,GUIDED,4
1531943833069054881,280,1531943833068573959,,1,1,1,GUIDED,4
1531943834082033031,281,1531943834080965556,,1,1,1,GUIDED,4
1531943835076874145,282,1531943835076467142,,1,1,1,GUIDED,4
1531943836103315253,283,1531943836102120996,,1,1,1,GUIDED,4
1531943837096476532,284,1531943837095998361,,1,1,1,GUIDED,4
1531943838097053903,285,1531943838096515573,,1,1,1,GUIDED,4
1531943839081903998,286,1531943839079651769,,1,1,1,GUIDED,4
