%time,field.header.seq,field.header.stamp,field.header.frame_id,field.airspeed,field.groundspeed,field.heading,field.throttle,field.altitude,field.climb
1531943810961060279,653,1531943810959530443,,17.3264045715,19.4390602112,82,0.52999997139,380.470001221,2.05125331879
1531943811372265751,654,1531943811371803645,,17.6487178802,18.879655838,78,0.25,381.220001221,-0.453114539385
1531943811750675867,655,1531943811748299162,,18.1939353943,17.7937488556,76,0.40000000596,382.41998291,4.9308681488
1531943812044194971,656,1531943812042209589,,17.5892124176,17.0790996552,77,0.550000011921,383.449981689,3.85584545135
1531943812401296760,657,1531943812399517167,,16.6344661713,16.8682632446,74,0.460000008345,384.519989014,-1.40805673599
1531943812802943966,658,1531943812802139752,,16.1973133087,16.5007266998,64,0.680000007153,385.229980469,3.77660036087
1531943813352981389,659,1531943813349340123,,17.5254211426,16.7261734009,47,0.680000007153,385.889984131,-2.74928569794
1531943813675845799,660,1531943813674127069,,18.1173343658,17.1027393341,35,0.680000007153,386.359985352,2.45625281334
1531943814005722985,661,1531943814001652412,,18.0658493042,17.5227851868,20,0.670000016689,386.979980469,2.00051188469
1531943814326578725,662,1531943814323994566,,18.4952163696,17.8234901428,7,0.670000016689,387.579986572,2.89536333084
1531943814721938673,663,1531943814719893867,,19.5359992981,18.1907405853,350,0.629999995232,388.660003662,3.34673166275
1531943815063103086,664,1531943815062614612,,20.0048141479,18.326128006,336,0.509999990463,389.779998779,4.80753087997
1531943815517932339,665,1531943815517542424,,19.849937439,17.6340713501,319,0.360000014305,391.66998291,8.42805576324
1531943815914651896,666,1531943815914129599,,18.2678985596,16.5812969208,310,0.310000002384,393.989990234,8.08515548706
1531943816167651677,667,1531943816166269038,,17.6331615448,15.7280063629,308,0.34999999404,395.619995117,6.14762544632
1531943816568823573,668,1531943816568418138,,16.3766460419,14.5587272644,306,0.259999990463,398.160003662,5.883456707
1531943816915113315,669,1531943816914689288,,14.9172477722,14.0217514038,308,0.25,399.949981689,6.55087280273
1531943817477142105,670,1531943817476676991,,13.8797807693,13.4594583511,311,0.219999998808,401.660003662,2.66094470024
1531943817851048308,671,1531943817850441852,,13.4877243042,13.3884401321,310,0.219999998808,401.959991455,2.2804274559
1531943818358685475,672,1531943818357598833,,14.0650701523,13.5723524094,314,0.20000000298,401.350006104,-0.340812772512
1531943818714759496,673,1531943818712400293,,14.5553646088,13.9171257019,317,0.189999997616,400.429992676,-2.89465904236
1531943819274467380,674,1531943819273950138,,15.6490077972,14.5731887817,316,0.189999997616,398.75,-3.48318696022
1531943819676056422,675,1531943819675403343,,16.3755493164,15.0546913147,316,0.170000001788,397.589996338,-3.25488090515
1531943820082827771,676,1531943820079052458,,16.5862045288,15.3705644608,317,0.170000001788,396.619995117,-3.12016868591
1531943820460529412,677,1531943820459201877,,16.5097885132,15.4527587891,317,0.189999997616,395.959991455,-3.09218287468
1531943820790902558,678,1531943820790342117,,16.4041500092,15.3472280502,318,0.219999998808,395.639984131,-1.5718960762
1531943821230822819,679,1531943821230514215,,16.1580162048,15.0853204727,321,0.25,395.350006104,-1.7066026926
1531943821662209400,680,1531943821660240593,,15.9544630051,14.8099384308,324,0.25,395.160003662,-1.47130358219
1531943822055787751,681,1531943822055264910,,15.4204492569,14.5604095459,327,0.300000011921,395.019989014,-0.435612231493
1531943822374810944,682,1531943822374438180,,14.8672437668,14.4501037598,333,0.34999999404,394.690002441,-0.426869392395
1531943822759207978,683,1531943822758872782,,15.102063179,14.5018815994,340,0.409999996424,394.069976807,-2.27404046059
1531943823203903785,684,1531943823203471023,,15.738067627,14.8972015381,350,0.409999996424,393.339996338,-2.71175527573
1531943823556906564,685,1531943823555919184,,16.1494255066,15.2834415436,0,0.40000000596,392.559997559,-2.4282553196
1531943824025491745,686,1531943824025053511,,16.632478714,15.738779068,14,0.419999986887,391.589996338,-2.34865903854
1531943824489736415,687,1531943824489331748,,17.1913013458,16.3194599152,28,0.430000007153,390.66998291,-1.68271541595
1531943824909824288,688,1531943824909468677,,17.534992218,16.9719352722,43,0.449999988079,390.149993896,-0.968593657017
1531943825331859762,689,1531943825331370392,,17.7003364563,17.5272674561,56,0.430000007153,389.839996338,-1.25873923302
1531943825703209690,690,1531943825701937002,,18.2701721191,17.816865921,67,0.370000004768,389.880004883,0.872102916241
1531943825969249531,691,1531943825968861696,,18.1172618866,17.7435321808,73,0.34999999404,390.16998291,0.629476070404
1531943826424087684,692,1531943826417183545,,16.9931774139,17.2197952271,80,0.360000014305,390.970001221,2.52397346497
1531943826812882430,693,1531943826812366533,,16.1934051514,16.5983772278,84,0.389999985695,391.779998779,1.56901705265
1531943827223572048,694,1531943827222940055,,15.1386508942,16.0822525024,85,0.419999986887,392.660003662,1.63575410843
1531943827722076779,695,1531943827721642160,,14.187212944,15.636674881,83,0.439999997616,393.569976807,0.69868773222
1531943828124083535,696,1531943828120758488,,13.7011137009,15.5106601715,81,0.460000008345,394.049987793,0.955244362354
1531943828556888894,697,1531943828556635745,,13.7180557251,15.5449581146,79,0.449999988079,394.259979248,0.934776544571
1531943828898623311,698,1531943828897786745,,13.3096504211,15.6958198547,77,0.460000008345,394.269989014,0.530507922173
