time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.commanded,.measured
2018/07/18/15:56:50.869853,2093,1531943810,869520906,NED,44.9500007629,-50.9912910461
2018/07/18/15:56:50.908512,2094,1531943810,907652578,NED,44.9500007629,-50.9912910461
2018/07/18/15:56:50.935195,2095,1531943810,934858598,NED,44.9399986267,-50.9912910461
2018/07/18/15:56:50.994324,2096,1531943810,993363514,NED,44.9399986267,-22.4634304047
2018/07/18/15:56:51.027289,2097,1531943811,26712017,NED,44.9399986267,-22.4634304047
2018/07/18/15:56:51.089499,2098,1531943811,88525532,NED,44.8499984741,-22.4634304047
2018/07/18/15:56:51.146321,2099,1531943811,145090666,NED,42.5200004578,-22.4634304047
2018/07/18/15:56:51.217081,2100,1531943811,213735646,NED,41.2999992371,-22.4634304047
2018/07/18/15:56:51.235919,2101,1531943811,235304171,NED,41.2900009155,-22.4634304047
2018/07/18/15:56:51.299280,2102,1531943811,298580196,NED,-44.7700004578,-22.4634304047
2018/07/18/15:56:51.339488,2103,1531943811,338895489,NED,-44.7299995422,-22.4634304047
2018/07/18/15:56:51.429323,2104,1531943811,428548233,NED,-44.6100006104,12.6104841232
2018/07/18/15:56:51.551317,2105,1531943811,550558037,NED,-44.4799995422,12.6104841232
2018/07/18/15:56:51.622043,2106,1531943811,620346394,NED,-44.4500007629,12.6104841232
2018/07/18/15:56:51.661895,2107,1531943811,660881973,NED,-44.4599990845,12.6104841232
2018/07/18/15:56:51.744421,2108,1531943811,743170555,NED,-44.4899978638,12.6104841232
2018/07/18/15:56:51.816952,2109,1531943811,813736695,NED,-44.5200004578,-11.3837566376
2018/07/18/15:56:51.848067,2110,1531943811,847838276,NED,-44.5299987793,-11.3837566376
2018/07/18/15:56:51.902173,2111,1531943811,901500759,NED,-44.5399971008,-11.3837566376
2018/07/18/15:56:51.970795,2112,1531943811,970112011,NED,-44.5499992371,-11.3837566376
2018/07/18/15:56:52.014208,2113,1531943812,13645920,NED,-44.5399971008,-11.3837566376
2018/07/18/15:56:52.054132,2114,1531943812,52601136,NED,-44.5399971008,-26.8369846344
2018/07/18/15:56:52.093730,2115,1531943812,90643724,NED,-44.5499992371,-26.8369846344
2018/07/18/15:56:52.169109,2116,1531943812,168350958,NED,-44.5699996948,-26.8369846344
2018/07/18/15:56:52.197298,2117,1531943812,196889955,NED,-44.5799980164,-26.8369846344
2018/07/18/15:56:52.278117,2118,1531943812,277614143,NED,-44.6100006104,-26.8369846344
2018/07/18/15:56:52.313745,2119,1531943812,313065564,NED,-44.6199989319,-26.8369846344
2018/07/18/15:56:52.375265,2120,1531943812,373862038,NED,-44.6299972534,-26.8369846344
2018/07/18/15:56:52.427888,2121,1531943812,415957630,NED,-44.6399993896,-35.9716186523
2018/07/18/15:56:52.461532,2122,1531943812,460948065,NED,-44.6499977112,-35.9716186523
2018/07/18/15:56:52.492930,2123,1531943812,492180307,NED,-44.6499977112,-35.9716186523
2018/07/18/15:56:52.558297,2124,1531943812,556712061,NED,-44.6499977112,-35.9716186523
2018/07/18/15:56:52.620911,2125,1531943812,615057142,NED,-44.6399993896,-35.9716186523
2018/07/18/15:56:52.649741,2126,1531943812,649302690,NED,-44.6399993896,-35.9716186523
2018/07/18/15:56:52.687302,2127,1531943812,686981699,NED,-44.6299972534,-35.9716186523
2018/07/18/15:56:52.777910,2128,1531943812,776927433,NED,-44.6199989319,-35.9716186523
2018/07/18/15:56:52.826859,2129,1531943812,825957177,NED,-44.6199989319,-44.0311164856
2018/07/18/15:56:52.839775,2130,1531943812,839407566,NED,-44.6199989319,-44.0311164856
2018/07/18/15:56:52.893825,2131,1531943812,892811782,NED,-44.6100006104,-44.0311164856
2018/07/18/15:56:52.939993,2132,1531943812,939051737,NED,-44.5999984741,-44.0311164856
2018/07/18/15:56:52.996861,2133,1531943812,996235745,NED,-44.5799980164,-44.0311164856
2018/07/18/15:56:53.060031,2134,1531943813,59228416,NED,-44.5699996948,-44.0311164856
2018/07/18/15:56:53.098802,2135,1531943813,98199601,NED,-44.5599975586,-44.0311164856
2018/07/18/15:56:53.140641,2136,1531943813,140348250,NED,-44.5599975586,-44.0311164856
2018/07/18/15:56:53.208440,2137,1531943813,205939385,NED,-44.5299987793,-44.0311164856
2018/07/18/15:56:53.313685,2138,1531943813,312532079,NED,-44.4799995422,-44.0311164856
2018/07/18/15:56:53.375190,2139,1531943813,374709945,NED,-44.4500007629,-50.8460617065
2018/07/18/15:56:53.415629,2140,1531943813,412756693,NED,-44.4199981689,-50.8460617065
2018/07/18/15:56:53.445865,2141,1531943813,441528616,NED,-44.3999977112,-50.8460617065
2018/07/18/15:56:53.511656,2142,1531943813,511119572,NED,-44.3199996948,-50.8460617065
2018/07/18/15:56:53.547594,2143,1531943813,547045323,NED,-44.2999992371,-50.8460617065
2018/07/18/15:56:53.593935,2144,1531943813,592552681,NED,-44.2399978638,-50.8460617065
2018/07/18/15:56:53.667771,2145,1531943813,666740667,NED,-44.2099990845,-50.8460617065
2018/07/18/15:56:53.698371,2146,1531943813,697838128,NED,-44.2099990845,-52.2434539795
2018/07/18/15:56:53.818170,2147,1531943813,813490867,NED,-44.2099990845,-52.2434539795
2018/07/18/15:56:53.868410,2148,1531943813,867949535,NED,-44.2099990845,-52.2434539795
2018/07/18/15:56:53.939069,2149,1531943813,937019633,NED,-44.219997406,-52.2434539795
2018/07/18/15:56:53.953180,2150,1531943813,952391758,NED,-44.219997406,-52.2434539795
2018/07/18/15:56:53.999508,2151,1531943813,998319399,NED,-44.2299995422,-52.2434539795
2018/07/18/15:56:54.037566,2152,1531943814,37087099,NED,-44.2299995422,-54.1701164246
2018/07/18/15:56:54.113421,2153,1531943814,112760412,NED,-44.219997406,-54.1701164246
2018/07/18/15:56:54.144471,2154,1531943814,143714355,NED,-44.2000007629,-54.1701164246
2018/07/18/15:56:54.215818,2155,1531943814,214586001,NED,-44.1699981689,-54.1701164246
2018/07/18/15:56:54.239378,2156,1531943814,238769182,NED,-44.1499977112,-54.1701164246
2018/07/18/15:56:54.294055,2157,1531943814,293250828,NED,-44.1100006104,-54.1701164246
2018/07/18/15:56:54.344338,2158,1531943814,343381840,NED,-44.0900001526,-54.9443626404
2018/07/18/15:56:54.393457,2159,1531943814,392728831,NED,-44.0799980164,-54.9443626404
2018/07/18/15:56:54.463853,2160,1531943814,462571657,NED,-44.0799980164,-54.9443626404
2018/07/18/15:56:54.493848,2161,1531943814,493296740,NED,-44.0699996948,-54.9443626404
2018/07/18/15:56:54.557130,2162,1531943814,556595297,NED,-44.0499992371,-54.9443626404
2018/07/18/15:56:54.595466,2163,1531943814,594970395,NED,-44.0400009155,-54.9443626404
2018/07/18/15:56:54.638673,2164,1531943814,638072952,NED,-44.0299987793,-54.9443626404
2018/07/18/15:56:54.716117,2165,1531943814,715236710,NED,-43.0799980164,-54.9443626404
2018/07/18/15:56:54.758754,2166,1531943814,758360163,NED,-43.0900001526,-55.0516891479
2018/07/18/15:56:54.815035,2167,1531943814,814185760,NED,-39.7799987793,-55.0516891479
2018/07/18/15:56:54.850087,2168,1531943814,847500089,NED,-39.7799987793,-55.0516891479
2018/07/18/15:56:54.894583,2169,1531943814,894216841,NED,-36.1199989319,-55.0516891479
2018/07/18/15:56:54.957550,2170,1531943814,956889711,NED,-36.1100006104,-55.0516891479
2018/07/18/15:56:54.990825,2171,1531943814,990417669,NED,-31.8799991608,-55.0516891479
2018/07/18/15:56:55.044960,2172,1531943815,44658103,NED,-31.8499984741,-55.0516891479
2018/07/18/15:56:55.099135,2173,1531943815,97410652,NED,-27.0499992371,-52.1723060608
2018/07/18/15:56:55.145078,2174,1531943815,141244849,NED,-27.0299987793,-52.1723060608
2018/07/18/15:56:55.192474,2175,1531943815,191932176,NED,-21.25,-52.1723060608
2018/07/18/15:56:55.257034,2176,1531943815,256541822,NED,-21.1999988556,-52.1723060608
2018/07/18/15:56:55.311031,2177,1531943815,310727793,NED,-14.7599992752,-52.1723060608
2018/07/18/15:56:55.362060,2178,1531943815,361492623,NED,-14.7399997711,-52.1723060608
2018/07/18/15:56:55.391192,2179,1531943815,390651326,NED,-8.26000022888,-52.1723060608
2018/07/18/15:56:55.440526,2180,1531943815,440031149,NED,-8.25,-52.1723060608
2018/07/18/15:56:55.490160,2181,1531943815,489080576,NED,-2.11999988556,-52.1723060608
2018/07/18/15:56:55.543326,2182,1531943815,540574581,NED,-2.11999988556,-43.1513748169
2018/07/18/15:56:55.626968,2183,1531943815,625960413,NED,3.0,-43.1513748169
2018/07/18/15:56:55.650280,2184,1531943815,649450996,NED,3.0,-43.1513748169
2018/07/18/15:56:55.696157,2185,1531943815,694334492,NED,7.14999961853,-43.1513748169
2018/07/18/15:56:55.751691,2186,1531943815,751214444,NED,7.14999961853,-43.1513748169
2018/07/18/15:56:55.838791,2187,1531943815,837998626,NED,10.8000001907,-43.1513748169
2018/07/18/15:56:55.891929,2188,1531943815,890810214,NED,13.4399995804,-43.1513748169
2018/07/18/15:56:55.969125,2189,1531943815,968724076,NED,13.4200000763,-25.2130870819
2018/07/18/15:56:55.997266,2190,1531943815,996636779,NED,15.0899991989,-25.2130870819
2018/07/18/15:56:56.044194,2191,1531943816,37045389,NED,15.0699996948,-25.2130870819
2018/07/18/15:56:56.097611,2192,1531943816,97296821,NED,16.1999988556,-25.2130870819
2018/07/18/15:56:56.149180,2193,1531943816,148768267,NED,16.1999988556,-25.2130870819
2018/07/18/15:56:56.200528,2194,1531943816,199668265,NED,16.8699989319,-10.7528896332
2018/07/18/15:56:56.242077,2195,1531943816,241286523,NED,16.8799991608,-10.7528896332
2018/07/18/15:56:56.342700,2196,1531943816,341652745,NED,17.1000003815,-10.7528896332
2018/07/18/15:56:56.412526,2197,1531943816,411317593,NED,16.9400005341,-10.7528896332
2018/07/18/15:56:56.436938,2198,1531943816,435816740,NED,16.9599990845,-10.7528896332
2018/07/18/15:56:56.495663,2199,1531943816,495080312,NED,16.5499992371,-10.7528896332
2018/07/18/15:56:56.548356,2200,1531943816,547865182,NED,16.5900001526,-10.7528896332
2018/07/18/15:56:56.598219,2201,1531943816,597720265,NED,16.1499996185,4.26345920563
2018/07/18/15:56:56.642145,2202,1531943816,637694000,NED,16.1900005341,4.26345920563
2018/07/18/15:56:56.692363,2203,1531943816,691503241,NED,15.6300001144,4.26345920563
2018/07/18/15:56:56.750394,2204,1531943816,749497197,NED,15.6599998474,4.26345920563
2018/07/18/15:56:56.773263,2205,1531943816,772912549,NED,15.0399999619,4.26345920563
2018/07/18/15:56:56.812044,2206,1531943816,811412288,NED,15.0599994659,4.26345920563
2018/07/18/15:56:56.857234,2207,1531943816,856587045,NED,15.0799999237,4.26345920563
2018/07/18/15:56:56.896322,2208,1531943816,895673304,NED,14.3199996948,4.26345920563
2018/07/18/15:56:56.984101,2209,1531943816,982880075,NED,13.3400001526,13.0547399521
2018/07/18/15:56:57.012851,2210,1531943817,12117787,NED,13.3599996567,13.0547399521
2018/07/18/15:56:57.047982,2211,1531943817,47493341,NED,13.3699998856,13.0547399521
2018/07/18/15:56:57.089807,2212,1531943817,89376717,NED,12.2100000381,13.0547399521
2018/07/18/15:56:57.147514,2213,1531943817,147042007,NED,12.2299995422,13.0547399521
2018/07/18/15:56:57.211708,2214,1531943817,211118480,NED,10.9699993134,13.0547399521
2018/07/18/15:56:57.250572,2215,1531943817,249858792,NED,10.9699993134,13.0547399521
2018/07/18/15:56:57.319958,2216,1531943817,317311319,NED,9.77999973297,13.0547399521
2018/07/18/15:56:57.369729,2217,1531943817,367706748,NED,9.78999996185,13.0547399521
2018/07/18/15:56:57.393497,2218,1531943817,393092220,NED,8.71000003815,13.0547399521
2018/07/18/15:56:57.444552,2219,1531943817,441901813,NED,8.72000026703,13.0547399521
2018/07/18/15:56:57.492552,2220,1531943817,489529597,NED,7.76999998093,15.949555397
2018/07/18/15:56:57.551904,2221,1531943817,551018231,NED,7.76999998093,15.949555397
2018/07/18/15:56:57.626796,2222,1531943817,624541465,NED,6.90999984741,15.949555397
2018/07/18/15:56:57.639387,2223,1531943817,638924644,NED,6.90999984741,15.949555397
2018/07/18/15:56:57.674425,2224,1531943817,674049641,NED,6.15000009537,15.949555397
2018/07/18/15:56:57.718918,2225,1531943817,718298748,NED,6.15000009537,15.949555397
2018/07/18/15:56:57.816232,2226,1531943817,815553299,NED,5.48000001907,15.949555397
2018/07/18/15:56:57.893888,2227,1531943817,893274880,NED,4.83999967575,13.3839712143
2018/07/18/15:56:57.933450,2228,1531943817,932882061,NED,4.82999992371,13.3839712143
2018/07/18/15:56:57.976792,2229,1531943817,976175468,NED,4.34999990463,13.3839712143
2018/07/18/15:56:58.013534,2230,1531943818,12964733,NED,4.33999967575,13.3839712143
2018/07/18/15:56:58.068547,2231,1531943818,68041097,NED,4.33999967575,13.3839712143
2018/07/18/15:56:58.130560,2232,1531943818,119862397,NED,3.90999984741,13.3839712143
2018/07/18/15:56:58.147945,2233,1531943818,147208517,NED,3.90999984741,13.3839712143
2018/07/18/15:56:58.195818,2234,1531943818,191600823,NED,3.50999999046,13.3839712143
2018/07/18/15:56:58.234232,2235,1531943818,232911856,NED,3.50999999046,13.3839712143
2018/07/18/15:56:58.354937,2236,1531943818,353220520,NED,3.1099998951,13.3839712143
2018/07/18/15:56:58.392554,2237,1531943818,392300861,NED,2.83999991417,5.46082210541
2018/07/18/15:56:58.451424,2238,1531943818,450473730,NED,2.83999991417,5.46082210541
2018/07/18/15:56:58.511626,2239,1531943818,510502319,NED,2.44000005722,5.46082210541
2018/07/18/15:56:58.563857,2240,1531943818,563403062,NED,2.44000005722,5.46082210541
2018/07/18/15:56:58.588966,2241,1531943818,588519514,NED,1.99000000954,5.46082210541
2018/07/18/15:56:58.662424,2242,1531943818,661589188,NED,1.99000000954,5.46082210541
2018/07/18/15:56:58.705538,2243,1531943818,704893796,NED,1.81999993324,5.46082210541
2018/07/18/15:56:58.751178,2244,1531943818,750535014,NED,1.81999993324,3.85962629318
2018/07/18/15:56:58.864201,2245,1531943818,861588914,NED,1.33999991417,3.85962629318
2018/07/18/15:56:58.915113,2246,1531943818,914114238,NED,1.03999996185,3.85962629318
2018/07/18/15:56:58.955133,2247,1531943818,954539746,NED,1.03999996185,3.85962629318
2018/07/18/15:56:58.978315,2248,1531943818,977777182,NED,1.24000000954,3.85962629318
2018/07/18/15:56:59.038860,2249,1531943819,35101966,NED,1.24000000954,3.85962629318
2018/07/18/15:56:59.098621,2250,1531943819,95994994,NED,1.03999996185,3.85962629318
2018/07/18/15:56:59.138285,2251,1531943819,137691239,NED,1.03999996185,3.85962629318
